parcel_id,ai_review_score,investment_category,manual_review_flag_ai,recommendation_ai,reasoning_summary_ai,key_risks_ai,missing_information,next_due_diligence_step_ai,confidence_level,model_used
40850-02-12-06130,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
34300-03-32-15230,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29675-03-07-09890,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
16250-92-05-01100,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-06220,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-01230,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
34300-03-32-14790,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
26725-02-25-17680,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
29775-02-26-04910,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
41025-02-01-04500,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-04390,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
44200-02-11-05670,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
47700-02-26-09610,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
13800-02-12-02160,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
36090-03-08-00970,6.7,Strong Manual Review Candidate,True,Drive By,AI review failed; fallback rule-based score used.,Weak or unverified surrounding value signal,Missing LiteLLM environment variables,Drive by and verify assessor/parcel details,Low,Rule-based only
