parcel_id,owner_name,property_address,city,state,zip_code,legal_description,bid_cost,property_type,source_page,raw_text,extraction_confidence,prop_no,subdivision,land_sqft,resale_costs_fees,notes
00575-93-06-00770,Unknown,405 S WHEELING AV E,Tulsa,OK,Unknown,LT 24 S3.4 LT 25 BLK 6,1468.51,R IMP,1,"1 00575-93-06-00770 405 S WHEELING AV E 3,920 R IMP 1,468.51 567.50 | LT 24 S3.4 LT 25 BLK 6 CITY OF TULSA | ABDO'S ADDN",High,1,ABDO'S ADDN,"3,920",567.50,
00575-93-06-00950,Unknown,401 S VICTOR AV E,Tulsa,OK,Unknown,LTS 25 & 26 LESS ST BLK-7,4526.88,R IMP,1,"2 00575-93-06-00950 401 S VICTOR AV E 5,600 R IMP 4,526.88 379.50 | LTS 25 & 26 LESS ST BLK-7 CITY OF TULSA | ABDO'S ADDN",High,2,ABDO'S ADDN,"5,600",379.50,
00575-93-06-01170,Unknown,511 S VICTOR AV E,Tulsa,OK,Unknown,LTS 43 & 44 BLK 8,3910.27,R IMP,1,"3 00575-93-06-01170 511 S VICTOR AV E 7,000 R IMP 3,910.27 504.50 | LTS 43 & 44 BLK 8 CITY OF TULSA | ABDO'S ADDN",High,3,ABDO'S ADDN,"7,000",504.50,
00700-03-33-00090,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,S30 E66.23 LT 7 BLK 1,14.66,R,1,"4 00700-03-33-00090 ADDRESS UNKNOWN 1,987 R 14.66 318.00 | S30 E66.23 LT 7 BLK 1 CITY OF TULSA | ACME ACRE ADD",Low,4,ACME ACRE ADD,"1,987",318.00,
00725-03-33-00530,Unknown,1326 N KNOXVILLE AV E,Tulsa,OK,Unknown,LT 2,6743.65,R IMP,1,"5 00725-03-33-00530 1326 N KNOXVILLE AV E 9,435 R IMP 6,743.65 442.50 | LT 2 CITY OF TULSA | ACME ACRE ADDN RESUB L41-42",High,5,ACME ACRE ADDN RESUB L41-42,"9,435",442.50,
00775-02-25-00490,Unknown,223 E ZION ST N,Tulsa,OK,Unknown,W1/2 LT 13 BLK 2,2546.41,R IMP,1,"6 00775-02-25-00490 223 E ZION ST N 8,960 R IMP 2,546.41 348.00 | W1/2 LT 13 BLK 2 CITY OF TULSA | ACRE GARDENS",High,6,ACRE GARDENS,"8,960",348.00,
00775-02-25-00730,Unknown,325 E YOUNG PL N,Tulsa,OK,Unknown,E84 LT 8 BLK 4,3819.61,R IMP,1,"7 00775-02-25-00730 325 E YOUNG PL N 11,760 R IMP 3,819.61 332.25 | E84 LT 8 BLK 4 CITY OF TULSA | ACRE GARDENS",High,7,ACRE GARDENS,"11,760",332.25,
00775-02-25-01100,Unknown,303 E WOODROW ST N,Tulsa,OK,Unknown,W1/2 LT 16 BLK 8,2716.39,R IMP,2,"8 00775-02-25-01100 303 E WOODROW ST N 8,960 R IMP 2,716.39 536.00 | W1/2 LT 16 BLK 8 CITY OF TULSA | ACRE GARDENS",High,8,ACRE GARDENS,"8,960",536.00,
00875-02-35-00590,Unknown,1313 N BOSTON PL E,Tulsa,OK,Unknown,LT 12 BLK 2,2584.89,R HS IMP,2,"9 00875-02-35-00590 1313 N BOSTON PL E 5,382 R HS IMP 2,584.89 332.25 | LT 12 BLK 2 CITY OF TULSA | ADAMS RESUB L5-19 B1 & L1-17 B2 CLINESS CREST",High,9,ADAMS RESUB L5-19 B1 & L1-17 B2 CLINESS CREST,"5,382",332.25,
00900-02-35-00210,Unknown,1141 N BOSTON PL E,Tulsa,OK,Unknown,LT 21 BLK 1,1197.21,R IMP,2,"10 00900-02-35-00210 1141 N BOSTON PL E 6,900 R IMP 1,197.21 332.25 | LT 21 BLK 1 CITY OF TULSA | ADAMS RESUB B1 THE POUDER AND POMEROY",High,10,ADAMS RESUB B1 THE POUDER AND POMEROY,"6,900",332.25,
01350-93-21-00260,Unknown,3404 E 33 ST S,Tulsa,OK,Unknown,W70 E140 W165 N120 LT 23,11854.56,C IMP,2,"11 01350-93-21-00260 3404 E 33 ST S 8,400 C IMP 11,854.56 332.25 | W70 E140 W165 N120 LT 23 CITY OF TULSA | ALBERT PIKE SUB",High,11,ALBERT PIKE SUB,"8,400",332.25,
01500-03-32-00010,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,N25 OF W137.88 OF LT 10 BLK 1,43.99,R,2,"12 01500-03-32-00010 ADDRESS UNKNOWN 3,447 R 43.99 270.75 | N25 OF W137.88 OF LT 10 BLK 1 CITY OF TULSA | ALEX LEWIS ADDN",Low,12,ALEX LEWIS ADDN,"3,447",270.75,
01675-03-20-00060,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 7 LESS TR BEG NWC S53 SE50.16 N57 W50 TO BEG,14.66,R,2,"13 01675-03-20-00060 ADDRESS UNKNOWN 4,017 R 14.66 270.75 | LT 7 LESS TR BEG NWC S53 SE50.16 N57 W50 TO BEG CITY OF TULSA | FOR HWY BLK 1",Low,13,FOR HWY BLK 1,"4,017",270.75,
01675-03-20-00080,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 9 LESS TR BEG NWC S62.58 NE50.21 N57.79 W50,14.66,R,2,"14 01675-03-20-00080 ADDRESS UNKNOWN 3,758 R 14.66 318.00 | LT 9 LESS TR BEG NWC S62.58 NE50.21 N57.79 W50 CITY OF TULSA | TO BEG FOR HWY BLK 1",Low,14,TO BEG FOR HWY BLK 1,"3,758",318.00,
01675-03-20-00090,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 10 BLK 1 LESS BEG NW COR LT 10 TH S 67.37 NELY,14.66,R,3,"15 01675-03-20-00090 ADDRESS UNKNOWN 3,567 R 14.66 302.25 | LT 10 BLK 1 LESS BEG NW COR LT 10 TH S 67.37 NELY CITY OF TULSA | 50.21 N 62.58 W 50 TO BEG",Low,15,50.21 N 62.58 W 50 TO BEG,"3,567",302.25,
01675-03-20-00100,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LTS 11 & 12 LESS TR BEG NWC THEREOF S77,58.66,R,3,"16 01675-03-20-00100 ADDRESS UNKNOWN 6,135 R 58.66 302.25 | LTS 11 & 12 LESS TR BEG NWC THEREOF S77 CITY OF TULSA | NE100.42 N67.37 W99.99 TO BEG FOR HWY BLK 1",Low,16,NE100.42 N67.37 W99.99 TO BEG FOR HWY BLK 1,"6,135",302.25,
01675-03-20-00240,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,PT LT 1 BLK 2 BEG SEC TH N44.17 SW51.34 S32.5 E50,14.66,R,3,"17 01675-03-20-00240 ADDRESS UNKNOWN 1,917 R 14.66 318.00 | PT LT 1 BLK 2 BEG SEC TH N44.17 SW51.34 S32.5 E50 CITY OF TULSA | TO BEG",Low,17,TO BEG,"1,917",318.00,
01675-03-20-00720,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 10 BLK 4,58.66,R,3,"18 01675-03-20-00720 ADDRESS UNKNOWN 6,750 R 58.66 443.00 | LT 10 BLK 4 CITY OF TULSA | AMOS T HALL ADDN",Low,18,AMOS T HALL ADDN,"6,750",443.00,
01775-03-29-01680,Unknown,1512 N COLUMBIA PL E,Tulsa,OK,Unknown,LT 9 BLK 2,2811.2,R HS IMP,3,"19 01775-03-29-01680 1512 N COLUMBIA PL E 7,695 R HS IMP 2,811.20 332.25 | LT 9 BLK 2 CITY OF TULSA | ANELEN HGTS THIRD ADDN",High,19,ANELEN HGTS THIRD ADDN,"7,695",332.25,
01800-03-35-01450,Unknown,7569 E OKLAHOMA PL N,Tulsa,OK,Unknown,LT 5 BLK 5,3546.22,R HS IMP,3,"20 01800-03-35-01450 7569 E OKLAHOMA PL N 7,200 R HS IMP 3,546.22 316.50 | LT 5 BLK 5 CITY OF TULSA | ANNAHLEE HGTS",High,20,ANNAHLEE HGTS,"7,200",316.50,
01875-03-19-00200,Unknown,2612 N TRENTON AV E,Tulsa,OK,Unknown,LT 10 BLK 2,962.57,R IMP,3,"21 01875-03-19-00200 2612 N TRENTON AV E 7,000 R IMP 962.57 332.25 | LT 10 BLK 2 CITY OF TULSA | APACHE PLACE ADDN",High,21,APACHE PLACE ADDN,"7,000",332.25,
01900-03-19-00560,Unknown,2711 N TRENTON AV E,Tulsa,OK,Unknown,LT 10 BLK 1,2263.03,R HS IMP,4,"22 01900-03-19-00560 2711 N TRENTON AV E 7,000 R HS IMP 2,263.03 363.75 | LT 10 BLK 1 CITY OF TULSA | APACHE PLACE SECOND ADDN",High,22,APACHE PLACE SECOND ADDN,"7,000",363.75,
01900-03-19-00570,Unknown,2707 N TRENTON AV E,Tulsa,OK,Unknown,LT 11 BLK 1,249.3,R,4,"23 01900-03-19-00570 2707 N TRENTON AV E 7,000 R 249.30 302.25 | LT 11 BLK 1 CITY OF TULSA | APACHE PLACE SECOND ADDN",High,23,APACHE PLACE SECOND ADDN,"7,000",302.25,
01900-03-19-01190,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,S 25 LT 14 BLK 5,14.66,R,4,"24 01900-03-19-01190 ADDRESS UNKNOWN 3,500 R 14.66 286.50 | S 25 LT 14 BLK 5 CITY OF TULSA | APACHE PLACE SECOND ADDN",Low,24,APACHE PLACE SECOND ADDN,"3,500",286.50,
02000-02-23-00060,Unknown,108 E 27 ST N,Tulsa,OK,Unknown,LT 4 BLK 2,1689.16,R IMP,4,"25 02000-02-23-00060 108 E 27 ST N 7,700 R IMP 1,689.16 426.75 | LT 4 BLK 2 CITY OF TULSA | ARCHER HGTS AMD",High,25,ARCHER HGTS AMD,"7,700",426.75,
02000-02-23-00290,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 19 BLK 3,36.66,R,4,"26 02000-02-23-00290 ADDRESS UNKNOWN 6,750 R 36.66 270.75 | LT 19 BLK 3 CITY OF TULSA | ARCHER HGTS AMD",Low,26,ARCHER HGTS AMD,"6,750",270.75,
02050-93-29-00080,Unknown,4647 S ATLANTA AV E,Tulsa,OK,Unknown,W/2 LT 3 LESS BEG NWC E152.5 S113 NW84.43,38399.79,R HS IMP,4,"27 02050-93-29-00080 4647 S ATLANTA AV E 31,500 R HS IMP 38,399.79 348.00 | W/2 LT 3 LESS BEG NWC E152.5 S113 NW84.43 CITY OF TULSA | SW72.56 N100 POB",High,27,SW72.56 N100 POB,"31,500",348.00,
