Parcel ID,Address,ai_final_score,ai_final_category,ai_bid_priority,ai_summary,ai_key_risks,ai_due_diligence_next_step,ai_confidence
01875-03-19-00200,2612 N TRENTON AV E,65,Watchlist,Priority 3,"Parcel 01875-03-19-00200 at 2612 N TRENTON AV E has opening bid 962.57, max bid 6000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
00575-93-06-01170,511 S VICTOR AV E,65,Watchlist,Priority 3,"Parcel 00575-93-06-01170 at 511 S VICTOR AV E has opening bid 3910.27, max bid 8000.0, grade nan, color Green, crime risk Unknown, and economic signal Unknown.","crime context Unknown, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
47175-03-29-18430,1903 N FLORENCE PL E,65,Watchlist,Priority 3,"Parcel 47175-03-29-18430 at 1903 N FLORENCE PL E has opening bid 1549.17, max bid 6000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
34300-03-32-15230,135 N COLUMBIA AV E,57,Watchlist,Priority 3,"Parcel 34300-03-32-15230 at 135 N COLUMBIA AV E has opening bid 3005.69, max bid 9000.0, grade nan, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
24925-02-36-17420,1084 N NORFOLK AV E,65,Watchlist,Priority 3,"Parcel 24925-02-36-17420 at 1084 N NORFOLK AV E has opening bid 1199.79, max bid 8000.0, grade nan, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
44675-92-08-04460,5134 W CHARLES PAGE,73,Strong Candidate,Priority 2,"Parcel 44675-92-08-04460 at 5134 W CHARLES PAGE has opening bid 907.78, max bid 6500.0, grade nan, color Green, crime risk Unknown, and economic signal Neutral.",crime context Unknown,"Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
38675-93-10-06110,1321 S DARLINGTON AV E,65,Watchlist,Priority 3,"Parcel 38675-93-10-06110 at 1321 S DARLINGTON AV E has opening bid 1603.63, max bid 12000.0, grade A, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
44200-02-11-04390,4696 N BOULDER AV W,57,Watchlist,Priority 3,"Parcel 44200-02-11-04390 at 4696 N BOULDER AV W has opening bid 3075.02, max bid 10000.0, grade C, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
34750-02-26-08160,2507 N MAIN ST E TULSA,57,Watchlist,Priority 3,"Parcel 34750-02-26-08160 at 2507 N MAIN ST E TULSA has opening bid 3097.02, max bid 12000.0, grade nan, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
23175-03-30-13610,2526 N QUAKER AV E,57,Watchlist,Priority 3,"Parcel 23175-03-30-13610 at 2526 N QUAKER AV E has opening bid 3115.02, max bid 12000.0, grade B, color Green, crime risk Medium, and economic signal Unknown.","crime context Medium, economic signal Unknown","Verify title, liens, occupancy, and auction-order assumptions before bidding.",Low
