Parcel ID,Address,crime_risk_level,crime_context_summary,crime_data_granularity,crime_source_title,crime_source_url,crime_data_confidence
01875-03-19-00200,2612 N TRENTON AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
00575-93-06-01170,511 S VICTOR AV E,Unknown,"South Tulsa / county-edge property, only broad area-level context available in this pass.",ZIP-Level,City of Tulsa public safety resources,https://www.cityoftulsa.org/,Low
47175-03-29-18430,1903 N FLORENCE PL E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
34300-03-32-15230,135 N COLUMBIA AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
24925-02-36-17420,1084 N NORFOLK AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
44675-92-08-04460,5134 W CHARLES PAGE,Unknown,"South Tulsa / county-edge property, only broad area-level context available in this pass.",ZIP-Level,City of Tulsa public safety resources,https://www.cityoftulsa.org/,Low
38675-93-10-06110,1321 S DARLINGTON AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
44200-02-11-04390,4696 N BOULDER AV W,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
34750-02-26-08160,2507 N MAIN ST E TULSA,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
23175-03-30-13610,2526 N QUAKER AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
40250-03-31-14910,1945 E NEWTON ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
40875-02-13-11530,210 E 44 ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
53775-02-02-00220,6105 N MAIN ST E TULSA,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
26725-02-25-16640,515 E UTE ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
23125-02-25-15350,1864 N OWASSO AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
07600-02-24-01200,820 E 36 ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
05400-02-25-04330,524 E YOUNG ST N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
44200-02-14-06630,18 E 44 PL N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
53825-02-02-01690,6369 N BOULDER AV W,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
07675-02-13-01140,4018 N GARRISON AV E,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
90212-02-12-26700,1118 E 50 PL N,Medium,Neighborhood-level north Tulsa context from public reporting and city investment patterns.,Neighborhood-Level,North Tulsa public safety context,https://www.cityoftulsa.org/,Low
