Parcel ID,Address,economic_signal_level,development_match_strength,matched_development_area,matched_project_or_investment,development_source_title,development_source_url,development_summary,development_match_reason,economic_data_confidence
01875-03-19-00200,2612 N TRENTON AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
00575-93-06-01170,511 S VICTOR AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
47175-03-29-18430,1903 N FLORENCE PL E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
34300-03-32-15230,135 N COLUMBIA AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
24925-02-36-17420,1084 N NORFOLK AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
44675-92-08-04460,5134 W CHARLES PAGE,Neutral,No Clear Match,West Tulsa / Charles Page corridor,no supported named project matched in this batch,INCOG planning resources,https://incog.org/,No strong named district or project overlap was confirmed from the spreadsheet row alone.,"Only a corridor reference is visible, which is not enough for a strong development match.",Low
38675-93-10-06110,1321 S DARLINGTON AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
44200-02-11-04390,4696 N BOULDER AV W,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
34750-02-26-08160,2507 N MAIN ST E TULSA,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
23175-03-30-13610,2526 N QUAKER AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
40250-03-31-14910,1945 E NEWTON ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
40875-02-13-11530,210 E 44 ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
53775-02-02-00220,6105 N MAIN ST E TULSA,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
26725-02-25-16640,515 E UTE ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
23125-02-25-15350,1864 N OWASSO AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
07600-02-24-01200,820 E 36 ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
05400-02-25-04330,524 E YOUNG ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
44200-02-14-06630,18 E 44 PL N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
53825-02-02-01690,6369 N BOULDER AV W,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
07675-02-13-01140,4018 N GARRISON AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
90212-02-12-26700,1118 E 50 PL N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
40825-02-13-08310,4337 N GARRISON AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
24675-03-31-13270,1404 N ST LOUIS AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
41025-02-01-04710,5901 N GARRISON PL E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
41025-02-01-05430,522 E 59 ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
17675-02-24-07570,750 E 32 PL N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
25500-03-29-06060,2625 E TECUMSEH ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
43300-03-29-09940,2311 N ATLANTA AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
56925-92-20-02770,3930 S 61 AV W,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
44200-02-11-03380,4627 N BOSTON AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
05850-03-30-04070,1844 N TRENTON AV E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
25375-03-29-05240,3215 E XYLER ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
90306-03-06-24020,1641 E 56 ST N TULSA,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
44250-02-12-15190,549 E 54 PL N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
13850-93-05-10570,2621 E ADMIRAL CT N,Positive,Possible Match,Admiral corridor,corridor-level reinvestment context,City of Tulsa planning and corridor resources,https://www.cityoftulsa.org/,"Address appears on or near the Admiral corridor, where corridor-scale planning and reinvestment signals may matter.","Street/corridor name overlap supports only a possible corridor match, not a district-level certainty.",Low
40850-02-12-07900,517 E 47 PL N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
46465-92-11-31880,2034 S PHOENIX AV W,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
40250-03-31-15190,2143 E NEWTON ST N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
44675-92-08-04450,5128 W CHARLES PAGE,Neutral,No Clear Match,West Tulsa / Charles Page corridor,no supported named project matched in this batch,INCOG planning resources,https://incog.org/,No strong named district or project overlap was confirmed from the spreadsheet row alone.,"Only a corridor reference is visible, which is not enough for a strong development match.",Low
29625-02-36-21010,419 E NEWTON PL N,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
10450-03-19-50550,3128 N TROOST PL E,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
96203-62-03-50220,18911 S 29 AV W,Unknown,Unknown,,,City of Tulsa development resources,https://www.cityoftulsa.org/,No credible project or district match was established from the available row data in this batch.,Avoided generic city-level matching without clearer location evidence.,Low
