#,Color,Source,Original Rank,Parcel ID,Address,Opening Bid,Max Bid,Bid Spread,Drive-By Status,Lien/Title Risk,Entitlement/Zoning Risk,Final Decision,Notes,Grade,source_excel_row,red_indicator_detected,strikethrough_detected,crossed_out_indicator_detected,cleaning_action
2,Green,"$900–$1,000",1,01875-03-19-00200,2612 N TRENTON AV E,962.57,6000.0,5037.43,Not Checked,Not Checked,Not Checked,Research,,B,3,False,False,False,kept
42,Green,Manual Review,1,00575-93-06-01170,511 S VICTOR AV E,3910.27,8000.0,4089.73,Not Checked,Not Checked,Not Checked,Research,,,43,False,False,False,kept
13,Green,"$1,500–$2,000",2,47175-03-29-18430,1903 N FLORENCE PL E,1549.17,6000.0,4450.83,Not Checked,Not Checked,Not Checked,Research,,C,14,False,False,False,kept
24,Green,Manual Review,2,34300-03-32-15230,135 N COLUMBIA AV E,3005.69,9000.0,5994.31,Not Checked,Not Checked,Not Checked,Research,,,25,False,False,False,kept
6,Green,"$1,000–$1,500",5,24925-02-36-17420,1084 N NORFOLK AV E,1199.79,8000.0,6800.21,Not Checked,Not Checked,Not Checked,Research,,,7,False,False,False,kept
1,Green,"$900–$1,000",7,44675-92-08-04460,5134 W CHARLES PAGE,907.78,6500.0,5592.22,Not Checked,Not Checked,Not Checked,Research,,,2,False,False,False,kept
14,Green,"$1,500–$2,000",7,38675-93-10-06110,1321 S DARLINGTON AV E,1603.63,12000.0,10396.37,Not Checked,Not Checked,Not Checked,Research,,A,15,False,False,False,kept
25,Green,Manual Review,8,44200-02-11-04390,4696 N BOULDER AV W,3075.02,10000.0,6924.98,Not Checked,Not Checked,Not Checked,Research,,C,26,False,False,False,kept
26,Green,Manual Review,9,34750-02-26-08160,2507 N MAIN ST E TULSA,3097.02,12000.0,8902.98,Not Checked,Not Checked,Not Checked,Research,,,27,False,False,False,kept
27,Green,Manual Review,11,23175-03-30-13610,2526 N QUAKER AV E,3115.02,12000.0,8884.98,Not Checked,Not Checked,Not Checked,Research,,B,28,False,False,False,kept
15,Green,"$1,500–$2,000",12,40250-03-31-14910,1945 E NEWTON ST N,1613.17,10000.0,8386.83,Not Checked,Not Checked,Not Checked,Research,,B,16,False,False,False,kept
5,Green,"$1,000–$1,500",13,40875-02-13-11530,210 E 44 ST N,1184.93,10000.0,8815.07,Not Checked,Not Checked,Not Checked,Research,,B,6,False,False,False,kept
28,Green,Manual Review,15,53775-02-02-00220,6105 N MAIN ST E TULSA,3140.32,10000.0,6859.68,Not Checked,Not Checked,Not Checked,Research,,C,29,False,False,False,kept
7,Green,"$1,000–$1,500",16,26725-02-25-16640,515 E UTE ST N,1216.55,7500.0,6283.45,Not Checked,Not Checked,Not Checked,Research,,C,8,False,False,False,kept
29,Purple,Manual Review,16,23125-02-25-15350,1864 N OWASSO AV E,3140.35,15000.0,11859.65,Not Checked,Not Checked,Not Checked,Research,,C,30,False,False,False,kept
