#,Color,Source,Original Rank,Parcel ID,Address,Opening Bid,Max Bid,Bid Spread,Drive-By Status,Lien/Title Risk,Entitlement/Zoning Risk,Final Decision,Notes,Grade
1,Green,"$900–$1,000",7,44675-92-08-04460,5134 W CHARLES PAGE,$907.78,"$6,500.00","$5,592.22",Not Checked,Not Checked,Not Checked,Research,,
2,Green,"$900–$1,000",1,01875-03-19-00200,2612 N TRENTON AV E,$962.57,"$6,000.00","$5,037.43",Not Checked,Not Checked,Not Checked,Research,,B
3,Blue,"$1,000–$1,500",50,96203-62-03-50220,18911 S 29 AV W,"$1,064.76","$4,000.00","$2,935.24",Not Checked,Not Checked,Not Checked,Research,,C
4,Green,"$1,000–$1,500",36,43300-03-29-09940,2311 N ATLANTA AV E,"$1,179.88","$8,000.00","$6,820.12",Not Checked,Not Checked,Not Checked,Research,,B
5,Green,"$1,000–$1,500",13,40875-02-13-11530,210 E 44 ST N,"$1,184.93","$10,000.00","$8,815.07",Not Checked,Not Checked,Not Checked,Research,,B
6,Green,"$1,000–$1,500",5,24925-02-36-17420,1084 N NORFOLK AV E,"$1,199.79","$8,000.00","$6,800.21",Not Checked,Not Checked,Not Checked,Research,,
7,Green,"$1,000–$1,500",16,26725-02-25-16640,515 E UTE ST N,"$1,216.55","$7,500.00","$6,283.45",Not Checked,Not Checked,Not Checked,Research,,C
8,Green,"$1,000–$1,500",32,41025-02-01-04710,5901 N GARRISON PL E,"$1,273.20","$8,000.00","$6,726.80",Not Checked,Not Checked,Not Checked,Research,,B
9,Green,"$1,000–$1,500",33,41025-02-01-05430,522 E 59 ST N,"$1,273.20","$6,000.00","$4,726.80",Not Checked,Not Checked,Not Checked,Research,,C
10,Green,"$1,000–$1,500",38,05850-03-30-04070,1844 N TRENTON AV E,"$1,297.53","$12,000.00","$10,702.47",Not Checked,Not Checked,Not Checked,Research,,A
11,Purple,"$1,000–$1,500",28,90212-02-12-26700,1118 E 50 PL N,"$1,317.38","$12,000.00","$10,682.62",Not Checked,Not Checked,Not Checked,Research,,A
12,Green,"$1,000–$1,500",21,05400-02-25-04330,524 E YOUNG ST N,"$1,418.58","$6,500.00","$5,081.42",,Not Checked,Not Checked,Research,,
13,Green,"$1,500–$2,000",2,47175-03-29-18430,1903 N FLORENCE PL E,"$1,549.17","$6,000.00","$4,450.83",Not Checked,Not Checked,Not Checked,Research,,C
14,Green,"$1,500–$2,000",7,38675-93-10-06110,1321 S DARLINGTON AV E,"$1,603.63","$12,000.00","$10,396.37",Not Checked,Not Checked,Not Checked,Research,,A
15,Green,"$1,500–$2,000",12,40250-03-31-14910,1945 E NEWTON ST N,"$1,613.17","$10,000.00","$8,386.83",Not Checked,Not Checked,Not Checked,Research,,B
16,Purple,"$1,500–$2,000",25,53825-02-02-01690,6369 N BOULDER AV W,"$1,693.83","$15,000.00","$13,306.17",Not Checked,Not Checked,Not Checked,Research,,A
17,Green,"$1,500–$2,000",28,40825-02-13-08310,4337 N GARRISON AV E,"$1,697.16","$8,000.00","$6,302.84",Not Checked,Not Checked,Not Checked,Research,,B
18,Green,"$1,500–$2,000",31,24675-03-31-13270,1404 N ST LOUIS AV E,"$1,697.83","$10,000.00","$8,302.17",Not Checked,Not Checked,Not Checked,Research,,B
19,Purple,"$1,500–$2,000",36,56925-92-20-02770,3930 S 61 AV W,"$1,716.68","$14,000.00","$12,283.32",Not Checked,Not Checked,Not Checked,Research,,B
20,Blue,"$1,500–$2,000",41,13850-93-05-10570,2621 E ADMIRAL CT N,"$1,759.82","$8,000.00","$6,240.18",Checked ,Not Checked,Not Checked,Research,,C
21,Green,"$1,500–$2,000",43,40850-02-12-07900,517 E 47 PL N,"$1,771.82","$9,000.00","$7,228.18",Not Checked,Not Checked,Not Checked,Research,,C
22,Green,"$1,500–$2,000",44,40250-03-31-15190,2143 E NEWTON ST N,"$1,778.61","$6,000.00","$4,221.39",Not Checked,Not Checked,Not Checked,Research,,C
23,Green,"$1,500–$2,000",46,44675-92-08-04450,5128 W CHARLES PAGE,"$1,783.15","$7,000.00","$5,216.85",Not Checked,Not Checked,Not Checked,Research,,
24,Green,Manual Review,2,34300-03-32-15230,135 N COLUMBIA AV E,"$3,005.69","$9,000.00","$5,994.31",Not Checked,Not Checked,Not Checked,Research,,
25,Green,Manual Review,8,44200-02-11-04390,4696 N BOULDER AV W,"$3,075.02","$10,000.00","$6,924.98",Not Checked,Not Checked,Not Checked,Research,,C
26,Green,Manual Review,9,34750-02-26-08160,2507 N MAIN ST E TULSA,"$3,097.02","$12,000.00","$8,902.98",Not Checked,Not Checked,Not Checked,Research,,
27,Green,Manual Review,11,23175-03-30-13610,2526 N QUAKER AV E,"$3,115.02","$12,000.00","$8,884.98",Not Checked,Not Checked,Not Checked,Research,,B
28,Green,Manual Review,15,53775-02-02-00220,6105 N MAIN ST E TULSA,"$3,140.32","$10,000.00","$6,859.68",Not Checked,Not Checked,Not Checked,Research,,C
29,Purple,Manual Review,16,23125-02-25-15350,1864 N OWASSO AV E,"$3,140.35","$15,000.00","$11,859.65",Not Checked,Not Checked,Not Checked,Research,,C
30,Green,Manual Review,17,07600-02-24-01200,820 E 36 ST N,"$3,152.35",,,Not Checked,Not Checked,Not Checked,Research,,
31,Green,Manual Review,21,44200-02-14-06630,18 E 44 PL N,"$3,183.01","$10,000.00","$6,816.99",Not Checked,Not Checked,Not Checked,Research,,C
32,Green,Manual Review,26,07675-02-13-01140,4018 N GARRISON AV E,"$3,245.67","$10,000.00","$6,754.33",Not Checked,Not Checked,Not Checked,Research,,C
33,Green,Manual Review,34,17675-02-24-07570,750 E 32 PL N,"$3,310.33","$12,000.00","$8,689.67",Not Checked,Not Checked,Not Checked,Research,,C
34,Green,Manual Review,35,25500-03-29-06060,2625 E TECUMSEH ST N,"$3,310.33","$12,000.00","$8,689.67",Not Checked,Not Checked,Not Checked,Research,,C
35,Green,Manual Review,36,44200-02-11-03380,4627 N BOSTON AV E,"$3,311.00","$10,000.00","$6,689.00",Not Checked,Not Checked,Not Checked,Research,,C
36,Green,Manual Review,38,25375-03-29-05240,3215 E XYLER ST N,"$3,313.80","$9,000.00","$5,686.20",Not Checked,Not Checked,Not Checked,Research,,C
37,Purple,Manual Review,39,90306-03-06-24020,1641 E 56 ST N TULSA,"$3,314.33","$15,000.00","$11,685.67",Not Checked,Not Checked,Not Checked,Research,,A
38,Green,Manual Review,40,44250-02-12-15190,549 E 54 PL N,"$3,327.00","$10,000.00","$6,673.00",Not Checked,Not Checked,Not Checked,Research,,C
39,Green,Manual Review,43,46465-92-11-31880,2034 S PHOENIX AV W,"$3,329.00","$6,000.00","$2,671.00",Not Checked,Not Checked,Not Checked,Research,,
40,Purple,Manual Review,48,29625-02-36-21010,419 E NEWTON PL N,"$3,388.99","$15,000.00","$11,611.01",Not Checked,Not Checked,Not Checked,Research,,B
41,Purple,Manual Review,49,10450-03-19-50550,3128 N TROOST PL E,"$3,389.11","$17,000.00","$13,610.89",Not Checked,Not Checked,Not Checked,Research,,C
42,Green,Manual Review,1,00575-93-06-01170,511 S VICTOR AV E,"$3,910.27","$8,000.00","$4,089.73",Not Checked,Not Checked,Not Checked,Research,,
