parcel_id,owner_name,property_address,city,state,zip_code,legal_description,bid_cost,property_type,source_page,raw_text,extraction_confidence,extraction_notes
00575-93-06-00770,Unknown,405 S WHEELING AV E,Tulsa,OK,Unknown,LT 24 S3.4 LT 25 BLK 6,1468.51,R IMP,1,"1 00575-93-06-00770 405 S WHEELING AV E 3,920 R IMP 1,468.51 567.50 | LT 24 S3.4 LT 25 BLK 6 CITY OF TULSA | ABDO'S ADDN",High,parsed cleanly
00575-93-06-00950,Unknown,401 S VICTOR AV E,Tulsa,OK,Unknown,LTS 25 & 26 LESS ST BLK-7,4526.88,R IMP,1,"2 00575-93-06-00950 401 S VICTOR AV E 5,600 R IMP 4,526.88 379.50 | LTS 25 & 26 LESS ST BLK-7 CITY OF TULSA | ABDO'S ADDN",High,parsed cleanly
00575-93-06-01170,Unknown,511 S VICTOR AV E,Tulsa,OK,Unknown,LTS 43 & 44 BLK 8,3910.27,R IMP,1,"3 00575-93-06-01170 511 S VICTOR AV E 7,000 R IMP 3,910.27 504.50 | LTS 43 & 44 BLK 8 CITY OF TULSA | ABDO'S ADDN",High,parsed cleanly
00700-03-33-00090,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,S30 E66.23 LT 7 BLK 1,14.66,R,1,"4 00700-03-33-00090 ADDRESS UNKNOWN 1,987 R 14.66 318.00 | S30 E66.23 LT 7 BLK 1 CITY OF TULSA | ACME ACRE ADD",Medium,partial or unknown address
00725-03-33-00530,Unknown,1326 N KNOXVILLE AV E,Tulsa,OK,Unknown,LT 2,6743.65,R IMP,1,"5 00725-03-33-00530 1326 N KNOXVILLE AV E 9,435 R IMP 6,743.65 442.50 | LT 2 CITY OF TULSA | ACME ACRE ADDN RESUB L41-42",High,parsed cleanly
00775-02-25-00490,Unknown,223 E ZION ST N,Tulsa,OK,Unknown,W1/2 LT 13 BLK 2,2546.41,R IMP,1,"6 00775-02-25-00490 223 E ZION ST N 8,960 R IMP 2,546.41 348.00 | W1/2 LT 13 BLK 2 CITY OF TULSA | ACRE GARDENS",High,parsed cleanly
00775-02-25-00730,Unknown,325 E YOUNG PL N,Tulsa,OK,Unknown,E84 LT 8 BLK 4,3819.61,R IMP,1,"7 00775-02-25-00730 325 E YOUNG PL N 11,760 R IMP 3,819.61 332.25 | E84 LT 8 BLK 4 CITY OF TULSA | ACRE GARDENS",High,parsed cleanly
00775-02-25-01100,Unknown,303 E WOODROW ST N,Tulsa,OK,Unknown,W1/2 LT 16 BLK 8,2716.39,R IMP,2,"8 00775-02-25-01100 303 E WOODROW ST N 8,960 R IMP 2,716.39 536.00 | W1/2 LT 16 BLK 8 CITY OF TULSA | ACRE GARDENS",High,parsed cleanly
00875-02-35-00590,Unknown,1313 N BOSTON PL E,Tulsa,OK,Unknown,LT 12 BLK 2,2584.89,R HS IMP,2,"9 00875-02-35-00590 1313 N BOSTON PL E 5,382 R HS IMP 2,584.89 332.25 | LT 12 BLK 2 CITY OF TULSA | ADAMS RESUB L5-19 B1 & L1-17 B2 CLINESS CREST",High,parsed cleanly
00900-02-35-00210,Unknown,1141 N BOSTON PL E,Tulsa,OK,Unknown,LT 21 BLK 1,1197.21,R IMP,2,"10 00900-02-35-00210 1141 N BOSTON PL E 6,900 R IMP 1,197.21 332.25 | LT 21 BLK 1 CITY OF TULSA | ADAMS RESUB B1 THE POUDER AND POMEROY",High,parsed cleanly
01350-93-21-00260,Unknown,3404 E 33 ST S,Tulsa,OK,Unknown,W70 E140 W165 N120 LT 23,11854.56,C IMP,2,"11 01350-93-21-00260 3404 E 33 ST S 8,400 C IMP 11,854.56 332.25 | W70 E140 W165 N120 LT 23 CITY OF TULSA | ALBERT PIKE SUB",High,parsed cleanly
01500-03-32-00010,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,N25 OF W137.88 OF LT 10 BLK 1,43.99,R,2,"12 01500-03-32-00010 ADDRESS UNKNOWN 3,447 R 43.99 270.75 | N25 OF W137.88 OF LT 10 BLK 1 CITY OF TULSA | ALEX LEWIS ADDN",Medium,partial or unknown address
01675-03-20-00060,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 7 LESS TR BEG NWC S53 SE50.16 N57 W50 TO BEG,14.66,R,2,"13 01675-03-20-00060 ADDRESS UNKNOWN 4,017 R 14.66 270.75 | LT 7 LESS TR BEG NWC S53 SE50.16 N57 W50 TO BEG CITY OF TULSA | FOR HWY BLK 1",Medium,partial or unknown address
01675-03-20-00080,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 9 LESS TR BEG NWC S62.58 NE50.21 N57.79 W50,14.66,R,2,"14 01675-03-20-00080 ADDRESS UNKNOWN 3,758 R 14.66 318.00 | LT 9 LESS TR BEG NWC S62.58 NE50.21 N57.79 W50 CITY OF TULSA | TO BEG FOR HWY BLK 1",Medium,partial or unknown address
01675-03-20-00090,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LT 10 BLK 1 LESS BEG NW COR LT 10 TH S 67.37 NELY,14.66,R,3,"15 01675-03-20-00090 ADDRESS UNKNOWN 3,567 R 14.66 302.25 | LT 10 BLK 1 LESS BEG NW COR LT 10 TH S 67.37 NELY CITY OF TULSA | 50.21 N 62.58 W 50 TO BEG",Medium,partial or unknown address
01675-03-20-00100,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,LTS 11 & 12 LESS TR BEG NWC THEREOF S77,58.66,R,3,"16 01675-03-20-00100 ADDRESS UNKNOWN 6,135 R 58.66 302.25 | LTS 11 & 12 LESS TR BEG NWC THEREOF S77 CITY OF TULSA | NE100.42 N67.37 W99.99 TO BEG FOR HWY BLK 1",Medium,partial or unknown address
01675-03-20-00240,Unknown,ADDRESS UNKNOWN,Tulsa,OK,Unknown,PT LT 1 BLK 2 BEG SEC TH N44.17 SW51.34 S32.5 E50,14.66,R,3,"17 01675-03-20-00240 ADDRESS UNKNOWN 1,917 R 14.66 318.00 | PT LT 1 BLK 2 BEG SEC TH N44.17 SW51.34 S32.5 E50 CITY OF TULSA | TO BEG",Medium,partial or unknown address
