parcel_id,owner_name,property_address,city,state,zip_code,legal_description,bid_cost,property_type,source_page,raw_text,extraction_confidence,extraction_notes,residential_likelihood,filter_included,duplicate_removed,filter_reason,development_match_strength,development_match_quality,development_match_warning,matched_development_area,matched_project_or_area_name,matched_project_type,matched_investment_signal_strength,development_source_url,development_source_title,development_summary,development_match_reason,development_confidence,previous_development_match_strength,rule_based_score,rule_based_category,bid_price_signal,address_quality_signal,property_clarity_signal,development_signal,surrounding_value_signal,crime_risk_estimate,data_confidence,rule_based_reasoning,key_rule_based_risks
40850-02-12-06130,Unknown,641 E 50 ST N,Tulsa,OK,Unknown,LT 4 BLK 2,3005.03,R IMP,108,"734 40850-02-12-06130 641 E 50 ST N 13,160 R IMP 3,005.03 332.25 | LT 4 BLK 2 CITY OF TULSA | SUBURBAN ACRES THIRD ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3005.03 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3005.03, parcel_id 40850-02-12-06130, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
34300-03-32-15230,Unknown,135 N COLUMBIA AV E,Tulsa,OK,Unknown,LT 24 BLK 4,3005.69,R IMP,88,"595 34300-03-32-15230 135 N COLUMBIA AV E 7,000 R IMP 3,005.69 363.75 | LT 24 BLK 4 CITY OF TULSA | REDDIN ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3005.69 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3005.69, parcel_id 34300-03-32-15230, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
29675-03-07-09890,Unknown,2017 E 49 ST N,Tulsa,OK,Unknown,LT 11 BLK 25,3010.1,R IMP,78,"533 29675-03-07-09890 2017 E 49 ST N 7,020 R IMP 3,010.10 411.00 | LT 11 BLK 25 CITY OF TULSA | NORTHRIDGE SECOND ADDN AMD",High,parsed cleanly,High,True,False,Included because bid_cost 3010.10 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3010.10, parcel_id 29675-03-07-09890, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
16250-92-05-01100,Unknown,426 S 55 AV W,Tulsa,OK,Unknown,LT 6 BLK 5,3012.36,R IMP,35,"238 16250-92-05-01100 426 S 55 AV W 7,500 R IMP 3,012.36 363.75 | LT 6 BLK 5 CITY OF TULSA | GLEN ACRES SUB-WEKIWA",High,parsed cleanly,High,True,False,Included because bid_cost 3012.36 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3012.36, parcel_id 16250-92-05-01100, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
41025-02-01-06220,Unknown,5914 N ELGIN AV E,Tulsa,OK,Unknown,LT 2 BLK 16,3015.03,R IMP,114,"771 41025-02-01-06220 5914 N ELGIN AV E 7,140 R IMP 3,015.03 332.25 | LT 2 BLK 16 CITY OF TULSA | SUBURBAN HILLS ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3015.03 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3015.03, parcel_id 41025-02-01-06220, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
41025-02-01-01230,Unknown,5607 N FRANKFORT AV E,Tulsa,OK,Unknown,LT-24-BLK-13,3021.69,R IMP,112,"758 41025-02-01-01230 5607 N FRANKFORT AV E 10,010 R IMP 3,021.69 348.00 | LT-24-BLK-13 CITY OF TULSA | SUBURBAN HILLS ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3021.69 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3021.69, parcel_id 41025-02-01-01230, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
34300-03-32-14790,Unknown,124 N DELAWARE AV E,Tulsa,OK,Unknown,LT 10 BLK 3,3029.62,R HS IMP,88,"593 34300-03-32-14790 124 N DELAWARE AV E 7,000 R HS IMP 3,029.62 426.75 | LT 10 BLK 3 CITY OF TULSA | REDDIN ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3029.62 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3029.62, parcel_id 34300-03-32-14790, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
26725-02-25-17680,Unknown,412 E UTE ST N,Tulsa,OK,Unknown,LOT-3-BLK-6,3047.69,R IMP,62,"419 26725-02-25-17680 412 E UTE ST N 9,000 R IMP 3,047.69 584.25 | LOT-3-BLK-6 CITY OF TULSA | MEADOWBROOK ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3047.69 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3047.69, parcel_id 26725-02-25-17680, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
29775-02-26-04910,Unknown,2220 N DENVER BV W,Tulsa,OK,Unknown,LT 21 BLK 8,3047.69,R IMP,79,"537 29775-02-26-04910 2220 N DENVER BV W 9,180 R IMP 3,047.69 348.00 | LT 21 BLK 8 CITY OF TULSA | OAK CLIFF ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3047.69 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3047.69, parcel_id 29775-02-26-04910, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
41025-02-01-04500,Unknown,537 E 59 PL N,Tulsa,OK,Unknown,LT 11 BLK 4,3047.69,R IMP,112,"761 41025-02-01-04500 537 E 59 PL N 7,680 R IMP 3,047.69 316.50 | LT 11 BLK 4 CITY OF TULSA | SUBURBAN HILLS ADDN",High,parsed cleanly,High,True,False,Included because bid_cost 3047.69 is within range and residential_likelihood=High,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match,6.7,Strong Manual Review Candidate,Strong,Complete,Strong,Low,Unknown,Unknown,High,"Bid cost 3047.69, parcel_id 41025-02-01-04500, address quality Complete, property clarity Strong, strict development match No Clear Match, match quality Low, development signal Low, data confidence High.",ZIP unknown; development upside not clearly supported; no clear strict development overlap
