parcel_id,development_match_strength,development_match_quality,development_match_warning,matched_development_area,matched_project_or_area_name,matched_project_type,matched_investment_signal_strength,development_source_url,development_source_title,development_summary,development_match_reason,development_confidence,previous_development_match_strength
40850-02-12-06130,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
34300-03-32-15230,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
29675-03-07-09890,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
16250-92-05-01100,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41025-02-01-06220,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41025-02-01-01230,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
34300-03-32-14790,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
26725-02-25-17680,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
29775-02-26-04910,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41025-02-01-04500,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
92224-22-24-13020,Strong Match,High,,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Specific street/corridor overlap: PEORIA,High,Strong Match
44200-02-11-04390,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-05670,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
47700-02-26-09610,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
13800-02-12-02160,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
36090-03-08-00970,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
05450-02-25-27030,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
34750-02-26-08160,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
19725-03-30-11560,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
78810-84-11-09860,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
40825-02-13-08350,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
23175-03-30-13610,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-03560,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
90327-03-27-26880,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25500-03-29-06000,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41025-02-01-04490,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
91408-14-08-10310,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
53775-02-02-00220,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
23125-02-25-15350,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
40800-02-13-04700,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
07600-02-24-01200,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-01790,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-01470,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
29775-02-26-05550,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
16050-93-06-08050,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
09725-03-30-08040,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37375-03-32-16320,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-14-06630,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44650-92-04-13070,Strong Match,High,,Greenwood District,Greenwood District revitalization and Black Tech Street momentum,Innovation district / community development,Medium,https://partnertulsa.org/,Home - PartnerTulsa,"PartnerTulsa highlights Greenwood District revitalization and Black Tech Street as part of Tulsa’s broader commercial and community development story, suggesting continued investment and visibility in the area.",Specific street/corridor overlap: ARCHER,Medium,Strong Match
44250-02-12-14920,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-03530,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44225-02-12-09330,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
54325-92-31-02630,No Clear Match,Invalid Weak Match,Weak match removed; previous match was based on generic location wording.,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weak generic overlap only: TULSA,Medium,Strong Match
52550-92-33-05285,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
07725-02-13-02930,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
79200-84-14-04250,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
07675-02-13-01140,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
49650-03-34-13420,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
41025-02-01-06510,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
15500-03-32-04800,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
05825-03-30-01260,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
37650-02-12-04530,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
49700-03-34-14030,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
32325-92-24-04910,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-01060,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
17675-02-24-07570,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
25500-03-29-06060,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
17675-02-24-08030,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
44200-02-11-03380,No Clear Match,Low,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"No specific street, corridor, neighborhood, or ZIP overlap found",Medium,No Clear Match
