parcel_id,property_geocode_status,property_latitude,property_longitude,development_geocode_status,development_latitude,development_longitude,estimated_distance_miles,geocode_confidence,distance_verified_match,corrected_development_match_strength,geocode_notes
92224-22-24-13020,Failed,,,Success,36.147890605377,-95.975600953152,,Medium,False,Possible Match,"Property geocoding failed via Census; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Match remains plausible but not distance-verified"
11000-83-06-00270,Success,36.067305164603,-95.973586865874,Success,36.147890605377,-95.975600953152,5.57,High,False,No Clear Match,"Property geocoded via Census: 1394 E 66TH PL, TULSA, OK, 74136; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows the property is not meaningfully close (5.57 miles)"
91236-12-36-50430,Success,36.25387213778,-95.973737305054,Success,36.147890605377,-95.975600953152,7.32,High,False,No Clear Match,"Property geocoded via Census: 6834 N PEORIA AVE, TULSA, OK, 74126; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows the property is not meaningfully close (7.32 miles)"
90329-03-29-41780,Success,36.17725961655,-95.940354221596,Success,36.147890605377,-95.975600953152,2.83,High,False,No Clear Match,"Property geocoded via Census: 1504 N HARVARD AVE, TULSA, OK, 74115; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows the property is not meaningfully close (2.83 miles)"
91236-12-36-47530,Success,36.255959670744,-95.973752936594,Success,36.147890605377,-95.975600953152,7.47,High,False,No Clear Match,"Property geocoded via Census: 7002 N PEORIA AVE, TULSA, OK, 74126; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows the property is not meaningfully close (7.47 miles)"
10175-93-02-01530,Success,36.249290292377,-95.989466893024,Success,36.147890605377,-95.975600953152,7.05,High,False,No Clear Match,"Property geocoded via Census: 444 E 66TH ST N, TULSA, OK, 74130; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows the property is not meaningfully close (7.05 miles)"
44650-92-04-13070,Success,36.156091131573,-96.04615712791,Success,36.159797603799,-95.986063449504,3.36,High,False,No Clear Match,"Property geocoded via Census: 4805 W ARCHER ST, TULSA, OK, 74127; Development geocode query used: Greenwood and Archer, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows the property is not meaningfully close (3.36 miles)"
53450-02-01-01960,Success,36.235091881607,-95.975617979952,Success,36.147890605377,-95.975600953152,6.03,High,False,No Clear Match,"Property geocoded via Census: 5602 N PEORIA AVE, TULSA, OK, 74126; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows the property is not meaningfully close (6.03 miles)"
43775-93-05-22530,Success,36.157995749616,-95.94042417535,Success,36.147890605377,-95.975600953152,2.08,High,False,Possible Match,"Property geocoded via Census: 208 S HARVARD AVE, TULSA, OK, 74112; Development geocode query used: 11th Street and Peoria, Tulsa, Oklahoma; Development geocoding succeeded; Geocoding shows limited but still plausible proximity (2.08 miles)"
13800-02-12-02160,Success,36.222650576211,-95.989041808554,Not Needed,,,,Medium,False,No Clear Match,"Property geocoded via Census: 4726 N FRANKFORT AVE, TULSA, OK, 74126; Base match was already No Clear Match"
