parcel_id,property_address,city,state,zip_code,legal_description,bid_cost,previous_investment_category,previous_development_match_strength,previous_development_match_quality,final_development_match_strength,final_matched_development_area,final_matched_project_or_area_name,final_matched_project_type,final_matched_investment_signal_strength,final_development_source_title,final_development_source_url,final_development_summary,final_development_corridor,final_development_relevant_streets,final_development_match_reason,final_development_match_quality,final_development_warning,final_development_confidence,final_match_basis,final_development_geocode_query,weak_match_removed_flag
92224-22-24-13020,15100 N PEORIA AV,Unknown,OK,Unknown,BEG 292N SECR NE TH W605 N430 E313 SE127 E255 TULSA COUNTY,3059.81,Good Investment,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: PEORIA,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
11000-83-06-00270,1394 E 66 PL S,Tulsa,OK,Unknown,E25 N130 LT 12 & N130 LT 13 BLK 2,3946.95,Good Investment,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: 66,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
91236-12-36-50430,6834 N PEORIA AV E,Unknown,OK,Unknown,N/2 SE NE SE LESS .766AC FOR RR R/W & LESS E50 TULSA COUNTY,4220.53,Good Investment,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: PEORIA,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
90329-03-29-41780,1504 N HARVARD AV E,Tulsa,OK,Unknown,TR IN SE BEG 160.5W & 50N SECR SE TH N105.5,6614.0,Good Investment,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: HARVARD,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
91236-12-36-47530,7002 N PEORIA AV E,Unknown,OK,Unknown,NE NE SE LESS 1.533ACS FOR RR R/W & LESS N15 TULSA COUNTY,7624.18,Good Investment,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: PEORIA,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
10175-93-02-01530,444 S 66 AV E,Tulsa,OK,Unknown,LT 11 BLK G,5366.03,Strong Manual Review Candidate,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: 66,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
44650-92-04-13070,4805 W ARCHER ST N,Tulsa,OK,Unknown,LTS 80 & 81 BLK G,3183.01,Strong Manual Review Candidate,Strong Match,High,Possible Match,Greenwood District,Greenwood District revitalization and Black Tech Street momentum,Innovation district / community development,Medium,Home - PartnerTulsa,https://partnertulsa.org/,"PartnerTulsa highlights Greenwood District revitalization and Black Tech Street as part of Tulsa’s broader commercial and community development story, suggesting continued investment and visibility in the area.",Greenwood Avenue area,Greenwood; Archer; downtown north edge,Partial named corridor overlap without verified proximity: ARCHER,Medium,,Medium,corridor_only,"Greenwood District revitalization and Black Tech Street momentum, Tulsa, Oklahoma",False
53450-02-01-01960,5602 N PEORIA AV E,Unknown,OK,Unknown,TRACT 1 TULSA COUNTY,4526.74,Strong Manual Review Candidate,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: PEORIA,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
43775-93-05-22530,208 S HARVARD AV E,Tulsa,OK,Unknown,LT 5 BLK 11,5098.15,Strong Manual Review Candidate,Strong Match,High,Possible Match,Tulsa Market District,Tulsa Market District / NOMA residential hub,Multifamily / Mixed-use neighborhood hub,High,Community Partner Profile: How NOMA is Creating Community Along the Mother Road - PartnerTulsa,https://partnertulsa.org/community-partner-profile-how-noma-is-creating-community-along-the-mother-road/,"NOMA added a 256-unit residential hub in the Tulsa Market District along Route 66 and was described as part of a broader effort to revitalize vacant spaces, improve walkability, and support new commercial activity in the corridor.",Route 66 from Peoria to Harvard,Route 66; 11th Street; Peoria; Harvard,Partial named corridor overlap without verified proximity: HARVARD,Medium,,High,corridor_only,"Tulsa Market District / NOMA residential hub, Tulsa, Oklahoma",False
13800-02-12-02160,4726 N FRANKFORT AV E,Tulsa,OK,Unknown,LT 9 BLK 7,3086.51,Strong Manual Review Candidate,No Clear Match,Low,No Clear Match,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Property is not clearly near or tied to the development area based on available address, ZIP, and named-location evidence",Low,,Low,no_clear_match,Unknown,False
