parcel_id,ai_score_1_to_10,ai_color_rating,ai_category,agree_with_user_rating,rating_change_from_previous,investment_summary,key_positive_signals,key_risks,missing_information,next_due_diligence_step,confidence_level
00575-93-06-01170,5.9,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3910.27; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Weak and geocode Success; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Property geocoded successfully for map context; Area trend is Stable; Map context shows South Victor Avenue East,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or area-based upside; physical condition and occupancy are unknown; surrounding value and crime risk are unknown despite high data confidence on the core record.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Medium
34300-03-32-15230,5.9,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3005.69; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Weak and geocode Success; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Property geocoded successfully for map context; Area trend is Stable; Map context shows North Columbia Avenue East,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are both unknown; geocode confidence is only Medium, which may affect precise location and comp analysis.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Medium
29675-03-07-09890,5.6,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3010.1; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified nearby development or project tie-in; geocode confidence only medium; development upside not verified.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
41025-02-01-01230,5.8,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3021.69; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Weak and geocode Success; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Property geocoded successfully for map context; Area trend is Stable; Map context shows Suburban Hills,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Medium
29775-02-26-04910,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3047.69; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development proximity or upside; only medium geocode confidence; surrounding value and crime risk are unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
41025-02-01-04500,5.5,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3047.69; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Unknown and geocode Failed; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Area trend is Stable,Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown.,assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Low
26725-02-25-17680,5.8,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3047.69; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Weak and geocode Success; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Property geocoded successfully for map context; Area trend is Stable; Map context shows East Ute Street North,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP unknown; no verified nearby development; surrounding value and crime risk are both unknown, increasing uncertainty about neighborhood quality and resale/rental potential.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Medium
44200-02-11-04390,5.8,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3075.02; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Weak and geocode Success; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Property geocoded successfully for map context; Area trend is Stable; Map context shows North Boulder Avenue West,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are both unknown, increasing uncertainty around neighborhood context.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Medium
34750-02-26-08160,5.8,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3097.02; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Weak and geocode Success; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Property geocoded successfully for map context; Area trend is Stable; Map context shows North Main Street,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Medium
40825-02-13-08350,5.8,Yellow,Mid,No User Rating Provided,Unknown,"Bid cost 3109.68; assessor data Search Reachable, Detail Unavailable with market value Unavailable; location signal Weak and geocode Success; crime/trend signal Unknown/Stable.",Property type R IMP is identified; Property geocoded successfully for map context; Area trend is Stable; Map context shows Walt Whitman,"Assessor valuation fields were unavailable to automation; Crime rating is area-level or unavailable; ZIP is unknown, limiting precise market and comp analysis; no clear or verified development match, so upside from nearby projects is unproven; geocode confidence is only Medium, adding some location uncertainty.",assessor market value; assessor assessed value; property condition,"Verify the Tulsa County Assessor property card manually, confirm structure condition and occupancy, and review nearby comps before bidding.",Medium
