parcel_id,assessor_match_status,assessor_property_address,assessor_owner_name,assessor_property_type,assessor_land_value,assessor_improvement_value,assessor_total_assessed_value,assessor_market_value,assessor_taxable_value,assessor_year_built,assessor_square_feet,assessor_lot_size,assessor_bedrooms,assessor_bathrooms,assessor_last_sale_date,assessor_last_sale_price,assessor_neighborhood,assessor_school_district,assessor_source_url,manual_lookup_url,assessor_notes,assessor_confidence
00575-93-06-01170,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=00575930601170&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
34300-03-32-15230,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=34300033215230&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
29675-03-07-09890,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=29675030709890&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
41025-02-01-01230,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=41025020101230&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
29775-02-26-04910,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=29775022604910&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
41025-02-01-04500,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=41025020104500&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
26725-02-25-17680,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=26725022517680&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
44200-02-11-04390,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=44200021104390&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
34750-02-26-08160,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=34750022608160&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
40825-02-13-08350,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=40825021308350&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
23175-03-30-13610,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=23175033013610&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
90327-03-27-26880,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=90327032726880&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
25500-03-29-06000,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=25500032906000&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
41025-02-01-04490,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=41025020104490&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
53775-02-02-00220,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=53775020200220&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
23125-02-25-15350,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=23125022515350&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
07600-02-24-01200,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,https://assessor.tulsacounty.org/Property/Search?terms=07600022401200&filterTag=AccountNo,"Assessor search endpoint was reachable, but this automation path did not have reliable access to parcel-level valuation cards. Manual lookup link provided.",Low
