rank,parcel_id,property_address,city,state,zip_code,bid_cost,legal_description,property_type,final_rule_based_score,final_ai_review_score,final_investment_category,final_recommendation,final_confidence_level,final_reasoning_summary,final_key_risks,final_missing_information,final_next_due_diligence_step,user_color_rating,user_rating_meaning,user_rating_source,assessor_match_status,assessor_market_value,assessor_total_assessed_value,assessor_land_value,assessor_improvement_value,assessor_property_type,assessor_year_built,assessor_square_feet,assessor_lot_size,assessor_source_url,assessor_confidence,manual_lookup_url,crime_risk_rating,crime_risk_summary,real_estate_trend_direction,real_estate_price_trend,neighborhood_or_area_used,neighborhoodscout_source_url,neighborhoodscout_confidence,geocode_status,latitude,longitude,nearby_schools,nearby_major_employers,nearby_hospitals,nearby_universities,nearby_retail_or_grocery,nearby_highways_or_major_roads,negative_location_flags,location_strength_rating,location_summary,location_confidence,bid_to_assessor_market_value_ratio,bid_to_assessed_value_ratio,value_spread_estimate,data_quality_score,source_verification_score,location_score,assessor_value_score,neighborhood_trend_score,crime_score,previous_rank_score,user_rating_numeric,deep_rule_score_1_to_10,deep_rule_color_rating,deep_rule_category,deep_rule_reasoning,deep_rule_key_risks
1,00575-93-06-01170,511 S VICTOR AV E,Tulsa,OK,Unknown,3910.27,LTS 43 & 44 BLK 8,R IMP,6.9,7.0,Strong Manual Review Candidate,Research First,High,"Parcel 00575-93-06-01170 at 511 S VICTOR AV E shows a low bid cost of 3910.27 and is tagged as R IMP with strong property clarity and complete address, while the development match status is 'No Clear Match' and overall data/extraction confidence is High, making it a solid candidate for deeper manual review but not a confirmed good investment.",ZIP is unknown; no verified development or area-based upside; physical condition and occupancy are unknown; surrounding value and crime risk are unknown despite high data confidence on the core record.,Exact ZIP code; detailed location context (neighborhood and comps); structure condition and size; current occupancy or liens beyond tax status; any confirmed nearby development or infrastructure projects.,"Manually confirm the precise location and ZIP in county records or GIS, pull property card and any building details, check recent nearby sales and rents, and verify any local development or zoning changes before bidding above the minimum.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=00575930601170&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Success,36.1536663,-95.9656652,Unknown,Unknown,Unknown,Unknown,Kendall-Whittier,South Victor Avenue East,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 511, South Victor Avenue East, Kendall-Whittier, Tulsa, Oklahoma, 74104, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium,,,,10,10,3.5,5.0,6.0,5.0,8.2,,5.9,Yellow,Mid,"Bid cost 3910.27 compared against assessor availability Search Reachable, Detail Unavailable; location rated Weak; area trend Stable; crime rating Unknown; prior rank 1.",ZIP is unknown; no verified development or area-based upside; physical condition and occupancy are unknown; surrounding value and crime risk are unknown despite high data confidence on the core record.
2,34300-03-32-15230,135 N COLUMBIA AV E,Tulsa,OK,Unknown,3005.69,LT 24 BLK 4,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"Parcel 34300-03-32-15230 at 135 N COLUMBIA AV E in Tulsa shows a bid cost of 3005.69 and a rule-based score of 6.9, driven by complete address quality and strong property clarity with high extraction/data confidence. However, the development match status is No Clear Match with low development confidence, so no verified development upside is included in the assessment.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are both unknown; geocode confidence is only Medium, which may affect precise location and comp analysis.","Exact ZIP code; surrounding property value context; crime/safety profile; detailed property characteristics (size, condition, zoning specifics); confirmation of precise geolocation and neighborhood quality.","Manually confirm the exact location and ZIP, pull local sales and rent comps around 135 N COLUMBIA AV E, verify zoning and property characteristics for LT 24 BLK 4, and check local market and crime data before deciding whether the 3005.69 bid level is attractive.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=34300033215230&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Success,36.1638884,-95.95126,Unknown,Unknown,Unknown,Unknown,Kendall-Whittier,North Columbia Avenue East,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 135, North Columbia Avenue East, Kendall-Whittier, Tulsa, Oklahoma, 74110, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium,,,,10,10,3.5,5.0,6.0,5.0,8.073333333333334,,5.9,Yellow,Mid,"Bid cost 3005.69 compared against assessor availability Search Reachable, Detail Unavailable; location rated Weak; area trend Stable; crime rating Unknown; prior rank 2.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are both unknown; geocode confidence is only Medium, which may affect precise location and comp analysis."
3,29675-03-07-09890,2017 E 49 ST N,Tulsa,OK,Unknown,3010.1,LT 11 BLK 25,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"Parcel 29675-03-07-09890 at 2017 E 49 ST N, Tulsa, OK has a bid cost of 3010.10 and is classified as R IMP with complete address and strong property clarity. Rule-based scoring (6.9) and high data confidence support it as a strong manual review candidate. However, development verification shows no clear match and low confidence, so no development premium is assumed.",ZIP is unknown; no verified nearby development or project tie-in; geocode confidence only medium; development upside not verified.,Exact ZIP code; more precise neighborhood and market context; confirmation of surrounding property values and crime risk; any known local development plans or infrastructure projects.,"Manually confirm the exact ZIP and neighborhood context for 2017 E 49 ST N, verify recent comparable values and basic risk indicators (including crime and vacancy), and check local planning or news sources for any unverified development or infrastructure activity near the parcel.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=29675030709890&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research unavailable.,Low,,,,7,5,5.0,5.0,6.0,5.0,8.006666666666666,,5.6,Yellow,Mid,"Bid cost 3010.1 compared against assessor availability Search Reachable, Detail Unavailable; location rated Unknown; area trend Stable; crime rating Unknown; prior rank 3.",ZIP is unknown; no verified nearby development or project tie-in; geocode confidence only medium; development upside not verified.
4,41025-02-01-01230,5607 N FRANKFORT AV E,Tulsa,OK,Unknown,3021.69,LT-24-BLK-13,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"Parcel 41025-02-01-01230 at 5607 N FRANKFORT AV E, Tulsa, has a low bid cost of 3021.69 and strong property/address clarity with high extraction/data confidence, but the development match status is No Clear Match with low confidence, so it is scored as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.","ZIP code; surrounding property value context; crime risk; detailed property characteristics (lot size, structure condition, zoning, utilities).","Manually pull county records and mapping data for 5607 N FRANKFORT AV E to confirm ZIP, zoning, physical characteristics, and neighborhood context, and then reassess value relative to the 3021.69 bid cost.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=41025020101230&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Success,36.2377033,-95.9893217,Unknown,Unknown,Unknown,Unknown,Tulsa,Suburban Hills,Unknown,Weak,"Geocoded with Nominatim. OSM display context: North Frankfort Avenue East, Suburban Hills, Tulsa, Oklahoma, 74126, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium,,,,10,10,3.5,5.0,6.0,5.0,7.9399999999999995,,5.8,Yellow,Mid,"Bid cost 3021.69 compared against assessor availability Search Reachable, Detail Unavailable; location rated Weak; area trend Stable; crime rating Unknown; prior rank 4.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown."
5,29775-02-26-04910,2220 N DENVER BV W,Tulsa,OK,Unknown,3047.69,LT 21 BLK 8,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"Parcel 29775-02-26-04910 at 2220 N DENVER BV W has a low bid cost of 3047.69 and is tagged as R IMP with strong property clarity and complete address, but the development match status is No Clear Match with low confidence and overall data/extraction confidence is High, leading to a conservative score of 6.9 and a Strong Manual Review Candidate classification rather than a confirmed good investment.",ZIP is unknown; no verified development proximity or upside; only medium geocode confidence; surrounding value and crime risk are unknown.,Exact ZIP code; detailed surrounding market values; crime risk profile; property condition and occupancy; title issues or liens beyond tax status; zoning and allowable uses.,"Manually confirm the precise location and ZIP for 2220 N DENVER BV W, then pull local sales/assessed values and zoning/condition data to validate whether the low bid cost of 3047.69 aligns with realistic resale or rental potential.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=29775022604910&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research unavailable.,Low,,,,7,5,5.0,5.0,6.0,5.0,7.873333333333333,,5.5,Yellow,Mid,"Bid cost 3047.69 compared against assessor availability Search Reachable, Detail Unavailable; location rated Unknown; area trend Stable; crime rating Unknown; prior rank 5.",ZIP is unknown; no verified development proximity or upside; only medium geocode confidence; surrounding value and crime risk are unknown.
6,41025-02-01-04500,537 E 59 PL N,Tulsa,OK,Unknown,3047.69,LT 11 BLK 4,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"The parcel at 537 E 59 PL N, Tulsa (ID 41025-02-01-04500) has a bid cost of 3047.69, strong property clarity, complete address, and high overall data confidence, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, development matching shows no clear match and low confidence, so no external upside is verified.",ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown.,Exact ZIP code; surrounding property value context; crime/safety profile; physical condition of improvements; occupancy status; title and lien status beyond tax auction; local market rent/sale comps.,"Manually confirm the precise ZIP and neighborhood context, then pull local sales/rent comps and any available condition/occupancy data for 537 E 59 PL N to validate whether the low bid cost aligns with realistic resale or rental potential.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=41025020104500&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research unavailable.,Low,,,,7,5,5.0,5.0,6.0,5.0,7.806666666666667,,5.5,Yellow,Mid,"Bid cost 3047.69 compared against assessor availability Search Reachable, Detail Unavailable; location rated Unknown; area trend Stable; crime rating Unknown; prior rank 6.",ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown.
7,26725-02-25-17680,412 E UTE ST N,Tulsa,OK,Unknown,3047.69,LOT-3-BLK-6,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"The parcel at 412 E UTE ST N (Parcel 26725-02-25-17680) has a low bid cost of 3047.69, strong property clarity, complete address, and high overall data confidence, which together yield a rule-based score of 6.9 and justify manual review. However, the development verification shows No Clear Match with low confidence, and the ZIP is unknown, so there is no confirmed development catalyst and some location uncertainty.","ZIP unknown; no verified nearby development; surrounding value and crime risk are both unknown, increasing uncertainty about neighborhood quality and resale/rental potential.",Exact ZIP code; clearer neighborhood context and surrounding value; crime risk; any confirmed nearby development or infrastructure projects.,"Manually confirm the precise location and ZIP for 412 E UTE ST N, then check local market comps and neighborhood conditions to determine whether the low bid cost aligns with typical land or improvement values in that immediate area.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=26725022517680&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Success,36.1828663,-95.9898913,Unknown,Unknown,Unknown,Unknown,Heritage Hills III,East Ute Street North,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 412, East Ute Street North, Heritage Hills III, Tulsa, Oklahoma, 74106, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium,,,,10,10,3.5,5.0,6.0,5.0,7.74,,5.8,Yellow,Mid,"Bid cost 3047.69 compared against assessor availability Search Reachable, Detail Unavailable; location rated Weak; area trend Stable; crime rating Unknown; prior rank 7.","ZIP unknown; no verified nearby development; surrounding value and crime risk are both unknown, increasing uncertainty about neighborhood quality and resale/rental potential."
8,44200-02-11-04390,4696 N BOULDER AV W,Tulsa,OK,Unknown,3075.02,LT 2 BLK 18,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"Parcel 44200-02-11-04390 at 4696 N BOULDER AV W in Tulsa has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3075.02 is flagged as a strong signal, but the development verification shows No Clear Match with low confidence, so no development premium is applied. Overall, the property merits manual review but not automatic elevation based on development.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are both unknown, increasing uncertainty around neighborhood context.",Exact ZIP code; surrounding property value context; crime risk; any confirmed nearby development projects or area improvements; on-the-ground condition and use details for this R IMP property.,"Manually confirm the precise location and ZIP for 4696 N BOULDER AV W, then pull surrounding sales/value and neighborhood risk indicators to validate whether the low bid cost of 3075.02 aligns with local market conditions before considering further investment analysis.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=44200021104390&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Success,36.2238614,-95.9973014,Unknown,Unknown,Unknown,Unknown,Tulsa,North Boulder Avenue West,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 4696, North Boulder Avenue West, Tulsa, Oklahoma, 74126, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium,,,,10,10,3.5,5.0,6.0,5.0,7.673333333333334,,5.8,Yellow,Mid,"Bid cost 3075.02 compared against assessor availability Search Reachable, Detail Unavailable; location rated Weak; area trend Stable; crime rating Unknown; prior rank 8.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are both unknown, increasing uncertainty around neighborhood context."
9,34750-02-26-08160,2507 N MAIN ST E,Tulsa,OK,Unknown,3097.02,PRT LTS 9 & 10 BEG SWC LT 9 TH NLY65 ELY TO SECR,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"Parcel 34750-02-26-08160 at 2507 N MAIN ST E in Tulsa has a low bid cost of 3097.02 and strong property/address clarity, with overall data and extraction confidence rated High. However, the development match status is No Clear Match with low confidence, so no development upside is verified. Given the rule-based score of 6.9 and Medium geocode confidence, this is a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",Exact ZIP code; any verified nearby development or redevelopment plans; surrounding property value context; crime and neighborhood risk indicators; more detailed legal description/lot dimensions and current use condition.,"Manually confirm the full mailing/ZIP address and parcel boundaries with county records, then check local planning, zoning, and market data around 2507 N MAIN ST E to assess surrounding values and any real (but currently unverified) development or redevelopment activity.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=34750022608160&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Success,36.1903393,-95.996621,Unknown,Unknown,Unknown,Unknown,Oak Cliff,North Main Street,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 2507, North Main Street, Oak Cliff, Tulsa, Oklahoma, 74106, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium,,,,10,10,3.5,5.0,6.0,5.0,7.6066666666666665,,5.8,Yellow,Mid,"Bid cost 3097.02 compared against assessor availability Search Reachable, Detail Unavailable; location rated Weak; area trend Stable; crime rating Unknown; prior rank 9.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown."
10,40825-02-13-08350,4355 N GARRISON AV E,Tulsa,OK,Unknown,3109.68,LT 29 BLK 6,R IMP,6.9,6.9,Strong Manual Review Candidate,Research First,High,"Parcel 40825-02-13-08350 at 4355 N GARRISON AV E shows a bid cost of 3109.68 with strong property clarity and complete address data, while the development match status is No Clear Match and overall data/extraction confidence is High, making it a solid candidate for deeper manual review but not a confirmed investment.","ZIP is unknown, limiting precise market and comp analysis; no clear or verified development match, so upside from nearby projects is unproven; geocode confidence is only Medium, adding some location uncertainty.",Exact ZIP code; detailed neighborhood and surrounding value data; crime risk estimate; any verified development or redevelopment plans tied to this parcel or its immediate area.,"Manually confirm the exact ZIP and neighborhood for 4355 N GARRISON AV E, then review local market values and any municipal or private development plans near the parcel to validate whether the low bid cost aligns with acceptable risk.",Unknown,Unknown,Not provided in input file,"Search Reachable, Detail Unavailable",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,https://assessor.tulsacounty.org/Property/Search,Low,https://assessor.tulsacounty.org/Property/Search?terms=40825021308350&filterTag=AccountNo,Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Stable,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.","Tulsa, OK",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,Success,36.2033279,-95.986247,Unknown,Unknown,Unknown,Unknown,Tulsa,Walt Whitman,Unknown,Weak,"Geocoded with Nominatim. OSM display context: North Garrison Avenue East, Walt Whitman, Tulsa, Oklahoma, 74106, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium,,,,10,10,3.5,5.0,6.0,5.0,7.54,,5.8,Yellow,Mid,"Bid cost 3109.68 compared against assessor availability Search Reachable, Detail Unavailable; location rated Weak; area trend Stable; crime rating Unknown; prior rank 10.","ZIP is unknown, limiting precise market and comp analysis; no clear or verified development match, so upside from nearby projects is unproven; geocode confidence is only Medium, adding some location uncertainty."
