parcel_id,property_address,geocode_status,latitude,longitude,nearby_schools,nearby_major_employers,nearby_hospitals,nearby_universities,nearby_retail_or_grocery,nearby_parks,nearby_highways_or_major_roads,nearby_public_transit,nearby_development_or_commercial_activity,negative_location_flags,location_strength_rating,location_summary,location_confidence
00575-93-06-01170,511 S VICTOR AV E,Success,36.1536663,-95.9656652,Unknown,Unknown,Unknown,Unknown,Kendall-Whittier,Unknown,South Victor Avenue East,Unknown,Kendall-Whittier,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 511, South Victor Avenue East, Kendall-Whittier, Tulsa, Oklahoma, 74104, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium
34300-03-32-15230,135 N COLUMBIA AV E,Success,36.1638884,-95.95126,Unknown,Unknown,Unknown,Unknown,Kendall-Whittier,Unknown,North Columbia Avenue East,Unknown,Kendall-Whittier,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 135, North Columbia Avenue East, Kendall-Whittier, Tulsa, Oklahoma, 74110, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium
29675-03-07-09890,2017 E 49 ST N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research unavailable.,Low
41025-02-01-01230,5607 N FRANKFORT AV E,Success,36.2377033,-95.9893217,Unknown,Unknown,Unknown,Unknown,Tulsa,Unknown,Suburban Hills,Unknown,Tulsa,Unknown,Weak,"Geocoded with Nominatim. OSM display context: North Frankfort Avenue East, Suburban Hills, Tulsa, Oklahoma, 74126, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium
29775-02-26-04910,2220 N DENVER BV W,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research unavailable.,Low
41025-02-01-04500,537 E 59 PL N,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research unavailable.,Low
26725-02-25-17680,412 E UTE ST N,Success,36.1828663,-95.9898913,Unknown,Unknown,Unknown,Unknown,Heritage Hills III,Unknown,East Ute Street North,Unknown,Heritage Hills III,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 412, East Ute Street North, Heritage Hills III, Tulsa, Oklahoma, 74106, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium
44200-02-11-04390,4696 N BOULDER AV W,Success,36.2238614,-95.9973014,Unknown,Unknown,Unknown,Unknown,Tulsa,Unknown,North Boulder Avenue West,Unknown,Tulsa,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 4696, North Boulder Avenue West, Tulsa, Oklahoma, 74126, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium
34750-02-26-08160,2507 N MAIN ST E,Success,36.1903393,-95.996621,Unknown,Unknown,Unknown,Unknown,Oak Cliff,Unknown,North Main Street,Unknown,Oak Cliff,Unknown,Weak,"Geocoded with Nominatim. OSM display context: 2507, North Main Street, Oak Cliff, Tulsa, Oklahoma, 74106, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium
40825-02-13-08350,4355 N GARRISON AV E,Success,36.2033279,-95.986247,Unknown,Unknown,Unknown,Unknown,Tulsa,Unknown,Walt Whitman,Unknown,Tulsa,Unknown,Weak,"Geocoded with Nominatim. OSM display context: North Garrison Avenue East, Walt Whitman, Tulsa, Oklahoma, 74106, United States. Exact nearby amenities were not exhaustively scraped, so map intelligence is preliminary.",Medium
23175-03-30-13610,2526 N QUAKER AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=2526+N+QUAKER+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
90327-03-27-26880,2011 N YALE AV E,Failed,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Location research error or unavailable data: 429 Client Error: Too many requests for url: https://nominatim.openstreetmap.org/search?q=2011+N+YALE+AV+E%2C+Tulsa%2C+OK&format=jsonv2&limit=1,Low
