parcel_id,property_address,neighborhoodscout_match_status,neighborhood_or_area_used,zip_code_used,crime_risk_summary,crime_risk_rating,real_estate_price_trend,real_estate_trend_direction,median_home_value_if_available,rent_level_if_available,income_or_economic_summary,demographic_summary,neighborhoodscout_source_url,neighborhoodscout_confidence,neighborhoodscout_notes
00575-93-06-01170,511 S VICTOR AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
34300-03-32-15230,135 N COLUMBIA AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
29675-03-07-09890,2017 E 49 ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
41025-02-01-01230,5607 N FRANKFORT AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
29775-02-26-04910,2220 N DENVER BV W,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
41025-02-01-04500,537 E 59 PL N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
26725-02-25-17680,412 E UTE ST N,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
44200-02-11-04390,4696 N BOULDER AV W,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
34750-02-26-08160,2507 N MAIN ST E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
40825-02-13-08350,4355 N GARRISON AV E,Area-Level Tulsa Context Only,"Tulsa, OK",Unknown,"NeighborhoodScout crime context page was available for Tulsa, but it is area-level screening context only and exact numeric crime rates were not used.",Unknown,"NeighborhoodScout real-estate page indicates area-level pricing/appreciation context is available, but exact parcel-level trend figures were not relied on.",Stable,Unavailable,Unavailable,"Tulsa area-level median household income: $37,533; per capita income: $37,533.","Tulsa city-level NeighborhoodScout demographic page was used as area-level context only, not parcel-level proof.",https://www.neighborhoodscout.com/ok/tulsa/demographics|https://www.neighborhoodscout.com/ok/tulsa/real-estate|https://www.neighborhoodscout.com/ok/tulsa/crime,Low,"NeighborhoodScout data was treated as area-level screening context only. If parcel/neighborhood-specific data is needed, manual review is required."
