rank,parcel_id,owner_name,property_address,city,state,zip_code,bid_cost,legal_description,property_type,source_page,extraction_confidence,final_development_match_strength,final_matched_development_area,property_geocode_status,geocode_confidence,corrected_development_match_strength,final_rule_based_score,final_rule_based_category,final_ai_review_score,final_investment_category,final_recommendation,final_reasoning_summary,final_key_risks,final_missing_information,final_next_due_diligence_step,final_confidence_level,user_color_rating,user_rating_meaning,user_rating_source
1,00575-93-06-01170,Unknown,511 S VICTOR AV E,Tulsa,OK,Unknown,3910.27,LTS 43 & 44 BLK 8,R IMP,1,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,7.0,Strong Manual Review Candidate,Research First,"Parcel 00575-93-06-01170 at 511 S VICTOR AV E shows a low bid cost of 3910.27 and is tagged as R IMP with strong property clarity and complete address, while the development match status is 'No Clear Match' and overall data/extraction confidence is High, making it a solid candidate for deeper manual review but not a confirmed good investment.",ZIP is unknown; no verified development or area-based upside; physical condition and occupancy are unknown; surrounding value and crime risk are unknown despite high data confidence on the core record.,Exact ZIP code; detailed location context (neighborhood and comps); structure condition and size; current occupancy or liens beyond tax status; any confirmed nearby development or infrastructure projects.,"Manually confirm the precise location and ZIP in county records or GIS, pull property card and any building details, check recent nearby sales and rents, and verify any local development or zoning changes before bidding above the minimum.",High,Unknown,Unknown,Not provided in input file
2,34300-03-32-15230,Unknown,135 N COLUMBIA AV E,Tulsa,OK,Unknown,3005.69,LT 24 BLK 4,R IMP,88,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 34300-03-32-15230 at 135 N COLUMBIA AV E in Tulsa shows a bid cost of 3005.69 and a rule-based score of 6.9, driven by complete address quality and strong property clarity with high extraction/data confidence. However, the development match status is No Clear Match with low development confidence, so no verified development upside is included in the assessment.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are both unknown; geocode confidence is only Medium, which may affect precise location and comp analysis.","Exact ZIP code; surrounding property value context; crime/safety profile; detailed property characteristics (size, condition, zoning specifics); confirmation of precise geolocation and neighborhood quality.","Manually confirm the exact location and ZIP, pull local sales and rent comps around 135 N COLUMBIA AV E, verify zoning and property characteristics for LT 24 BLK 4, and check local market and crime data before deciding whether the 3005.69 bid level is attractive.",High,Unknown,Unknown,Not provided in input file
3,29675-03-07-09890,Unknown,2017 E 49 ST N,Tulsa,OK,Unknown,3010.1,LT 11 BLK 25,R IMP,78,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 29675-03-07-09890 at 2017 E 49 ST N, Tulsa, OK has a bid cost of 3010.10 and is classified as R IMP with complete address and strong property clarity. Rule-based scoring (6.9) and high data confidence support it as a strong manual review candidate. However, development verification shows no clear match and low confidence, so no development premium is assumed.",ZIP is unknown; no verified nearby development or project tie-in; geocode confidence only medium; development upside not verified.,Exact ZIP code; more precise neighborhood and market context; confirmation of surrounding property values and crime risk; any known local development plans or infrastructure projects.,"Manually confirm the exact ZIP and neighborhood context for 2017 E 49 ST N, verify recent comparable values and basic risk indicators (including crime and vacancy), and check local planning or news sources for any unverified development or infrastructure activity near the parcel.",High,Unknown,Unknown,Not provided in input file
4,41025-02-01-01230,Unknown,5607 N FRANKFORT AV E,Tulsa,OK,Unknown,3021.69,LT-24-BLK-13,R IMP,112,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 41025-02-01-01230 at 5607 N FRANKFORT AV E, Tulsa, has a low bid cost of 3021.69 and strong property/address clarity with high extraction/data confidence, but the development match status is No Clear Match with low confidence, so it is scored as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.","ZIP code; surrounding property value context; crime risk; detailed property characteristics (lot size, structure condition, zoning, utilities).","Manually pull county records and mapping data for 5607 N FRANKFORT AV E to confirm ZIP, zoning, physical characteristics, and neighborhood context, and then reassess value relative to the 3021.69 bid cost.",High,Unknown,Unknown,Not provided in input file
5,29775-02-26-04910,Unknown,2220 N DENVER BV W,Tulsa,OK,Unknown,3047.69,LT 21 BLK 8,R IMP,79,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 29775-02-26-04910 at 2220 N DENVER BV W has a low bid cost of 3047.69 and is tagged as R IMP with strong property clarity and complete address, but the development match status is No Clear Match with low confidence and overall data/extraction confidence is High, leading to a conservative score of 6.9 and a Strong Manual Review Candidate classification rather than a confirmed good investment.",ZIP is unknown; no verified development proximity or upside; only medium geocode confidence; surrounding value and crime risk are unknown.,Exact ZIP code; detailed surrounding market values; crime risk profile; property condition and occupancy; title issues or liens beyond tax status; zoning and allowable uses.,"Manually confirm the precise location and ZIP for 2220 N DENVER BV W, then pull local sales/assessed values and zoning/condition data to validate whether the low bid cost of 3047.69 aligns with realistic resale or rental potential.",High,Unknown,Unknown,Not provided in input file
6,41025-02-01-04500,Unknown,537 E 59 PL N,Tulsa,OK,Unknown,3047.69,LT 11 BLK 4,R IMP,112,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 537 E 59 PL N, Tulsa (ID 41025-02-01-04500) has a bid cost of 3047.69, strong property clarity, complete address, and high overall data confidence, which together yield a rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, development matching shows no clear match and low confidence, so no external upside is verified.",ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown.,Exact ZIP code; surrounding property value context; crime/safety profile; physical condition of improvements; occupancy status; title and lien status beyond tax auction; local market rent/sale comps.,"Manually confirm the precise ZIP and neighborhood context, then pull local sales/rent comps and any available condition/occupancy data for 537 E 59 PL N to validate whether the low bid cost aligns with realistic resale or rental potential.",High,Unknown,Unknown,Not provided in input file
7,26725-02-25-17680,Unknown,412 E UTE ST N,Tulsa,OK,Unknown,3047.69,LOT-3-BLK-6,R IMP,62,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"The parcel at 412 E UTE ST N (Parcel 26725-02-25-17680) has a low bid cost of 3047.69, strong property clarity, complete address, and high overall data confidence, which together yield a rule-based score of 6.9 and justify manual review. However, the development verification shows No Clear Match with low confidence, and the ZIP is unknown, so there is no confirmed development catalyst and some location uncertainty.","ZIP unknown; no verified nearby development; surrounding value and crime risk are both unknown, increasing uncertainty about neighborhood quality and resale/rental potential.",Exact ZIP code; clearer neighborhood context and surrounding value; crime risk; any confirmed nearby development or infrastructure projects.,"Manually confirm the precise location and ZIP for 412 E UTE ST N, then check local market comps and neighborhood conditions to determine whether the low bid cost aligns with typical land or improvement values in that immediate area.",High,Unknown,Unknown,Not provided in input file
8,44200-02-11-04390,Unknown,4696 N BOULDER AV W,Tulsa,OK,Unknown,3075.02,LT 2 BLK 18,R IMP,123,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-11-04390 at 4696 N BOULDER AV W in Tulsa has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3075.02 is flagged as a strong signal, but the development verification shows No Clear Match with low confidence, so no development premium is applied. Overall, the property merits manual review but not automatic elevation based on development.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are both unknown, increasing uncertainty around neighborhood context.",Exact ZIP code; surrounding property value context; crime risk; any confirmed nearby development projects or area improvements; on-the-ground condition and use details for this R IMP property.,"Manually confirm the precise location and ZIP for 4696 N BOULDER AV W, then pull surrounding sales/value and neighborhood risk indicators to validate whether the low bid cost of 3075.02 aligns with local market conditions before considering further investment analysis.",High,Unknown,Unknown,Not provided in input file
9,34750-02-26-08160,Unknown,2507 N MAIN ST E,Tulsa,OK,Unknown,3097.02,PRT LTS 9 & 10 BEG SWC LT 9 TH NLY65 ELY TO SECR,R IMP,89,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 34750-02-26-08160 at 2507 N MAIN ST E in Tulsa has a low bid cost of 3097.02 and strong property/address clarity, with overall data and extraction confidence rated High. However, the development match status is No Clear Match with low confidence, so no development upside is verified. Given the rule-based score of 6.9 and Medium geocode confidence, this is a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",Exact ZIP code; any verified nearby development or redevelopment plans; surrounding property value context; crime and neighborhood risk indicators; more detailed legal description/lot dimensions and current use condition.,"Manually confirm the full mailing/ZIP address and parcel boundaries with county records, then check local planning, zoning, and market data around 2507 N MAIN ST E to assess surrounding values and any real (but currently unverified) development or redevelopment activity.",High,Unknown,Unknown,Not provided in input file
10,40825-02-13-08350,Unknown,4355 N GARRISON AV E,Tulsa,OK,Unknown,3109.68,LT 29 BLK 6,R IMP,107,High,No Clear Match,Unknown,Success,Medium,No Clear Match,6.9,Strong Manual Review Candidate,6.9,Strong Manual Review Candidate,Research First,"Parcel 40825-02-13-08350 at 4355 N GARRISON AV E shows a bid cost of 3109.68 with strong property clarity and complete address data, while the development match status is No Clear Match and overall data/extraction confidence is High, making it a solid candidate for deeper manual review but not a confirmed investment.","ZIP is unknown, limiting precise market and comp analysis; no clear or verified development match, so upside from nearby projects is unproven; geocode confidence is only Medium, adding some location uncertainty.",Exact ZIP code; detailed neighborhood and surrounding value data; crime risk estimate; any verified development or redevelopment plans tied to this parcel or its immediate area.,"Manually confirm the exact ZIP and neighborhood for 4355 N GARRISON AV E, then review local market values and any municipal or private development plans near the parcel to validate whether the low bid cost aligns with acceptable risk.",High,Unknown,Unknown,Not provided in input file
