parcel_id,owner_name,property_address,city,state,zip_code,legal_description,bid_cost,property_type,source_page,raw_text,extraction_confidence,extraction_notes,residential_likelihood,obvious_red_flags,data_confidence,filter_reason
02000-02-23-00060,Unknown,108 E 27 ST N,Tulsa,OK,Unknown,LT 4 BLK 2,1689.16,R IMP,4,"25 02000-02-23-00060 108 E 27 ST N 7,700 R IMP 1,689.16 426.75 | LT 4 BLK 2 CITY OF TULSA | ARCHER HGTS AMD",High,parsed cleanly,High,None observed,High,Included because bid_cost 1689.16 is within 1500 to 2000 and residential_likelihood=High.
02850-02-25-01370,Unknown,346 E XYLER ST N,Tulsa,OK,Unknown,LT 1,1949.8,R IMP,5,"34 02850-02-25-01370 346 E XYLER ST N 5,880 R IMP 1,949.80 363.75 | LT 1 CITY OF TULSA | BEARDEN'S SUB RESUB L1-2 & 39-40 B7",High,parsed cleanly,High,None observed,High,Included because bid_cost 1949.80 is within 1500 to 2000 and residential_likelihood=High.
05425-02-25-04650,Unknown,618 E XYLER ST N,Tulsa,OK,Unknown,LT 1 BLK 8,1623.72,R IMP,12,"78 05425-02-25-04650 618 E XYLER ST N 6,720 R IMP 1,623.72 316.50 | LT 1 BLK 8 CITY OF TULSA | BROOKDALE RESUB PRT B3-4 & ALL B8 ELGINDALE",High,parsed cleanly,High,None observed,High,Included because bid_cost 1623.72 is within 1500 to 2000 and residential_likelihood=High.
07600-02-24-01240,Unknown,3514 N LANSING AV E,Tulsa,OK,Unknown,LT 6 BLK 3,1901.8,R IMP,16,"104 07600-02-24-01240 3514 N LANSING AV E 7,259 R IMP 1,901.80 348.00 | LT 6 BLK 3 CITY OF TULSA | CHANDLER FRATES SECOND ADDN",High,parsed cleanly,High,None observed,High,Included because bid_cost 1901.80 is within 1500 to 2000 and residential_likelihood=High.
08425-03-29-03180,Unknown,2204 N EVANSTON AV E,Tulsa,OK,Unknown,LT 11 BLK 1,1941.05,R IMP,18,"122 08425-03-29-03180 2204 N EVANSTON AV E 7,293 R IMP 1,941.05 348.00 | LT 11 BLK 1 CITY OF TULSA | CITY VIEW ADDN RESUB L1-2 & E/2 L3-4 B11",High,parsed cleanly,High,None observed,High,Included because bid_cost 1941.05 is within 1500 to 2000 and residential_likelihood=High.
10275-92-02-00760,Unknown,317 S PHOENIX AV W,Tulsa,OK,Unknown,LT 10 BLK 6,1702.49,R IMP,22,"147 10275-92-02-00760 317 S PHOENIX AV W 6,150 R IMP 1,702.49 348.00 | LT 10 BLK 6 CITY OF TULSA | CROSBIE HGTS",High,parsed cleanly,High,None observed,High,Included because bid_cost 1702.49 is within 1500 to 2000 and residential_likelihood=High.
10475-92-08-00580,Unknown,5333 W 12 ST S,Tulsa,OK,Unknown,LT 7 BLK 3,1678.49,R IMP,23,"150 10475-92-08-00580 5333 W 12 ST S 7,239 R IMP 1,678.49 348.00 | LT 7 BLK 3 CITY OF TULSA | CUNNINGHAM ADDN",High,parsed cleanly,High,None observed,High,Included because bid_cost 1678.49 is within 1500 to 2000 and residential_likelihood=High.
11275-02-24-04460,Unknown,623 E 27 PL N,Tulsa,OK,Unknown,LT 10 BLK 2,1952.47,R IMP,24,"161 11275-02-24-04460 623 E 27 PL N 6,900 R IMP 1,952.47 332.25 | LT 10 BLK 2 CITY OF TULSA | DEVONSHIRE PLACE NO THREE RESUB B1-3 PRT B4",High,parsed cleanly,High,None observed,High,Included because bid_cost 1952.47 is within 1500 to 2000 and residential_likelihood=High.
11300-02-24-04840,Unknown,538 E 27 CT N,Tulsa,OK,Unknown,E 50 LT 12 W 10 LT 13 BLK 1,1697.83,R IMP,24,"162 11300-02-24-04840 538 E 27 CT N 7,200 R IMP 1,697.83 363.75 | E 50 LT 12 W 10 LT 13 BLK 1 CITY OF TULSA | DEVONSHIRE PLACE NO 3 RESUB B1",High,parsed cleanly,High,None observed,High,Included because bid_cost 1697.83 is within 1500 to 2000 and residential_likelihood=High.
11325-02-24-04990,Unknown,418 E 28 ST N,Tulsa,OK,Unknown,LT 4 BLK 1,1655.16,R IMP,25,"163 11325-02-24-04990 418 E 28 ST N 6,480 R IMP 1,655.16 379.50 | LT 4 BLK 1 CITY OF TULSA | DEVONSHIRE PLACE FOURTH RESUB BOULEVARD",High,parsed cleanly,High,None observed,High,Included because bid_cost 1655.16 is within 1500 to 2000 and residential_likelihood=High.
