parcel_id,owner_name,property_address,city,state,zip_code,bid_cost,legal_description,property_type,source_page,raw_text,extraction_confidence,property_use_flag
29650-03-07-03650,Unknown,1355 E 53 ST N,Tulsa,OK,Unknown,1001.89,LT 32 BLK 2,R IMP,76,"517 29650-03-07-03650 1355 E 53 ST N 7,200 R IMP 1,001.89 458.25 | LT 32 BLK 2 CITY OF TULSA | NORTHRIDGE ADDN",High,Residential/improved-looking
24675-03-31-13180,Unknown,1427 N ST LOUIS AV E,Tulsa,OK,Unknown,1003.06,LT-15-BLK-1,R HS IMP,56,"380 24675-03-31-13180 1427 N ST LOUIS AV E 7,250 R HS IMP 1,003.06 332.25 | LT-15-BLK-1 CITY OF TULSA | MAGIC CITY ADDN",High,Residential/improved-looking
44675-92-08-05920,Unknown,1005 S 51 AV W,City Of Tulsa Mh Not Included,OK,Unknown,1019.23,N 87 1/2' LT 6 BLK 7,R,130,"888 44675-92-08-05920 1005 S 51 AV W 9,944 R 1,019.23 318.00 | N 87 1/2' LT 6 BLK 7 CITY OF TULSA MH NOT INCLUDED | VERN SUB AMD",High,Residential/improved-looking
25800-03-32-09470,Unknown,1434 N EVANSTON AV E,Tulsa,OK,Unknown,1026.56,LT 7 BLK 4,R IMP,61,"411 25800-03-32-09470 1434 N EVANSTON AV E 7,830 R IMP 1,026.56 332.25 | LT 7 BLK 4 CITY OF TULSA | MARYLAND HGTS ADDN",High,Residential/improved-looking
24475-92-04-07370,Unknown,3820 W ADMIRAL BV S,Tulsa,OK,Unknown,1042.31,LT 12,R IMP,56,"378 24475-92-04-07370 3820 W ADMIRAL BV S 14,600 R IMP 1,042.31 348.00 | LT 12 CITY OF TULSA | MADISIN ACRES ADDN",High,Residential/improved-looking
96203-62-03-50220,Unknown,18911 S 29 AV W,Unknown,OK,Unknown,1064.76,BEG 1282.67E & 50N SWC SW TH N314.94 NW423.89 TULSA COUNTY,A IMP,192,"1303 96203-62-03-50220 18911 S 29 AV W 436,036 A IMP 1,064.76 348.00 | BEG 1282.67E & 50N SWC SW TH N314.94 NW423.89 TULSA COUNTY | NW309.52 N286.69 E671.96 S553.39 W325.52 S698.05",High,Residential/improved-looking
38950-03-27-10040,Unknown,1715 N MAPLEWOOD AV E,Tulsa,OK,Unknown,1065.22,LT 10 BLK 2,R,99,"669 38950-03-27-10040 1715 N MAPLEWOOD AV E 10,640 R 1,065.22 349.50 | LT 10 BLK 2 CITY OF TULSA | SOUTH DAWSON ADDN",High,Residential/improved-looking
18725-92-27-12650,Unknown,4532 S VANCOUVER AV W,Tulsa,OK,Unknown,1071.89,LOT-8-BLK-7,R,40,"269 18725-92-27-12650 4532 S VANCOUVER AV W 7,200 R 1,071.89 318.00 | LOT-8-BLK-7 CITY OF TULSA | HILLDALE ADDN",High,Residential/improved-looking
55625-92-06-02420,Unknown,215 S 71 AV W,Unknown,OK,Unknown,1072.22,LTS 4 THRU 6 BLK 3 TULSA COUNTY,R,151,"1030 55625-92-06-02420 215 S 71 AV W 60,000 R 1,072.22 365.25 | LTS 4 THRU 6 BLK 3 TULSA COUNTY | TWIN CITIES",High,Residential/improved-looking
54375-02-01-07920,Unknown,5942 N OWASSO AV E,Unknown,OK,Unknown,1077.89,LT 6 & 7 BLK 6 TULSA COUNTY,R IMP,146,"995 54375-02-01-07920 5942 N OWASSO AV E 7,000 R IMP 1,077.89 348.00 | LT 6 & 7 BLK 6 TULSA COUNTY | TURLEY-ORIGINAL TOWN",High,Residential/improved-looking
