input row count: 62
crime coverage count: 56
crime counts within 0.5 miles were not available from the chosen public source and remain Unknown.
{"parcel_id": "29650-03-07-03650", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "24675-03-31-13180", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "44675-92-08-05920", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "25800-03-32-09470", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "24475-92-04-07370", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "96203-62-03-50220", "city_used_for_crime_proxy": "Unknown", "crime_source": "Unknown.", "crime_data_date_range": "Unknown.", "crime_risk_score": "Unknown.", "crime_risk_level": "Unknown", "crime_confidence": "Unknown", "crime_notes": "No usable official or area-level crime source was attached for this row. Treat crime risk as unknown and do not assume the area is safe."}
{"parcel_id": "38950-03-27-10040", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "18725-92-27-12650", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "55625-92-06-02420", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
{"parcel_id": "54375-02-01-07920", "city_used_for_crime_proxy": "Tulsa", "crime_source": "NeighborhoodScout city-level crime page (low-confidence proxy)", "crime_data_date_range": "2021 city-level page", "crime_risk_score": 1.7, "crime_risk_level": "High", "crime_confidence": "Low", "crime_notes": "City-level proxy for Tulsa, not parcel-specific and not a 0.5-mile incident count. Official Tulsa parcel-level incident counts were not reliably queryable from the available public endpoints during this pipeline run. NeighborhoodScout reported violent-crime victimization odds of about 1 in 107. Property-crime victimization odds were about 1 in 22. The city page said Tulsa is safer than 2% of U.S. cities. City-level overall crime rate text reported 45.0 per 1,000 residents."}
