ranked row count: 62
{"parcel_id": "80610-84-11-13900", "pre_ai_final_score": 8.01, "pre_ai_category": "Top Candidate", "area_ranking_reason": "Parcel 80610-84-11-13900 at bid cost 1083.22 scored 8.01 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=5.25 (Medium risk, Low confidence), economic strength=7.42 (Low risk, High confidence), and data confidence=7.62.", "area_key_risks": "Crime context is low-confidence and city-level only."}
{"parcel_id": "63725-12-13-01480", "pre_ai_final_score": 7.52, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 63725-12-13-01480 at bid cost 1303.24 scored 7.52 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=3.0 (Unknown risk, Unknown confidence), economic strength=7.58 (Low risk, High confidence), and data confidence=7.38.", "area_key_risks": "No major pre-AI risk beyond normal tax-auction due diligence."}
{"parcel_id": "52625-92-28-06480", "pre_ai_final_score": 7.43, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 52625-92-28-06480 at bid cost 1294.53 scored 7.43 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=8.33 (Low risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "00900-02-35-00210", "pre_ai_final_score": 7.4, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 00900-02-35-00210 at bid cost 1197.21 scored 7.4 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=8.0 (Low risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "24675-03-31-13180", "pre_ai_final_score": 7.23, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 24675-03-31-13180 at bid cost 1003.06 scored 7.23 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=6.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "24925-02-36-17420", "pre_ai_final_score": 7.17, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 24925-02-36-17420 at bid cost 1199.79 scored 7.17 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=9.0, crime score=1.75 (High risk, Low confidence), economic strength=6.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "47100-03-31-17080", "pre_ai_final_score": 7.09, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 47100-03-31-17080 at bid cost 1222.54 scored 7.09 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=6.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "15275-03-19-03980", "pre_ai_final_score": 7.08, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 15275-03-19-03980 at bid cost 1131.88 scored 7.08 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=6.33 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "25575-03-19-05190", "pre_ai_final_score": 7.08, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 25575-03-19-05190 at bid cost 1147.21 scored 7.08 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=6.33 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "24475-92-04-07370", "pre_ai_final_score": 7.03, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 24475-92-04-07370 at bid cost 1042.31 scored 7.03 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=5.92 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
{"parcel_id": "24925-02-36-17470", "pre_ai_final_score": 7.01, "pre_ai_category": "Manual Review Candidate", "area_ranking_reason": "Parcel 24925-02-36-17470 at bid cost 1497.18 scored 7.01 before AI because property clarity=10.0, geocoding=9.0, residential likelihood=8.5, crime score=1.75 (High risk, Low confidence), economic strength=6.5 (Medium risk, High confidence), and data confidence=7.62.", "area_key_risks": "Area-level crime proxy is high risk. Crime context is low-confidence and city-level only."}
