custom_id,source_list,original_rank,parcel_id,property_address,city,state,bid_cost
C33-01,Manual Review,1,00575-93-06-01170,511 S VICTOR AV E,Tulsa,OK,3910.27
C33-02,Manual Review,2,34300-03-32-15230,135 N COLUMBIA AV E,Tulsa,OK,3005.69
C33-03,Manual Review,8,44200-02-11-04390,4696 N BOULDER AV W,Tulsa,OK,3075.02
C33-04,Manual Review,9,34750-02-26-08160,2507 N MAIN ST E TULSA,Tulsa,OK,3097.02
C33-05,Manual Review,11,23175-03-30-13610,2526 N QUAKER AV E,Tulsa,OK,3115.02
C33-06,Manual Review,15,53775-02-02-00220,6105 N MAIN ST E TULSA,Tulsa,OK,3140.32
C33-07,Manual Review,17,07600-02-24-01200,820 E 36 ST N,Tulsa,OK,3152.35
C33-08,Manual Review,21,44200-02-14-06630,18 E 44 PL N,Tulsa,OK,3183.01
C33-09,Manual Review,26,07675-02-13-01140,4018 N GARRISON AV E,Tulsa,OK,3245.67
C33-10,Manual Review,34,17675-02-24-07570,750 E 32 PL N,Tulsa,OK,3310.33
C33-11,Manual Review,35,25500-03-29-06060,2625 E TECUMSEH ST N,Tulsa,OK,3310.33
C33-12,Manual Review,36,44200-02-11-03380,4627 N BOSTON AV E,Tulsa,OK,3311.0
C33-13,Manual Review,38,25375-03-29-05240,3215 E XYLER ST N,Tulsa,OK,3313.8
C33-14,Manual Review,40,44250-02-12-15190,549 E 54 PL N,Tulsa,OK,3327.0
C33-15,Manual Review,43,46465-92-11-31880,2034 S PHOENIX AV W,Tulsa,OK,3329.0
C33-16,"$1,500-$2,000",2,47175-03-29-18430,1903 N FLORENCE PL E,Tulsa,OK,1549.17
C33-17,"$1,500-$2,000",7,38675-93-10-06110,1321 S DARLINGTON AV E,Tulsa,OK,1603.63
C33-18,"$1,500-$2,000",12,40250-03-31-14910,1945 E NEWTON ST N,Tulsa,OK,1613.17
C33-19,"$1,500-$2,000",28,40825-02-13-08310,4337 N GARRISON AV E,Tulsa,OK,1697.16
C33-20,"$1,500-$2,000",31,24675-03-31-13270,1404 N ST LOUIS AV E,Tulsa,OK,1697.83
C33-21,"$1,500-$2,000",43,40850-02-12-07900,517 E 47 PL N,Tulsa,OK,1771.82
C33-22,"$1,500-$2,000",44,40250-03-31-15190,2143 E NEWTON ST N,Tulsa,OK,1778.61
C33-23,"$1,500-$2,000",46,44675-92-08-04450,5128 W CHARLES PAGE,Tulsa,OK,1783.15
C33-24,"$1,000-$1,500",5,24925-02-36-17420,1084 N NORFOLK AV E,Tulsa,OK,1199.79
C33-25,"$1,000-$1,500",13,40875-02-13-11530,210 E 44 ST N,Tulsa,OK,1184.93
C33-26,"$1,000-$1,500",16,26725-02-25-16640,515 E UTE ST N,Tulsa,OK,1216.55
C33-27,"$1,000-$1,500",21,05400-02-25-04330,524 E YOUNG ST N,Tulsa,OK,1418.58
C33-28,"$1,000-$1,500",32,41025-02-01-04710,5901 N GARRISON PL E,Tulsa,OK,1273.2
C33-29,"$1,000-$1,500",33,41025-02-01-05430,522 E 59 ST N,Tulsa,OK,1273.2
C33-30,"$1,000-$1,500",36,43300-03-29-09940,2311 N ATLANTA AV E,Tulsa,OK,1179.88
C33-31,"$1,000-$1,500",38,05850-03-30-04070,1844 N TRENTON AV E,Tulsa,OK,1297.53
C33-32,"$900-$1,000",1,01875-03-19-00200,2612 N TRENTON AV E,Tulsa,OK,962.57
C33-33,"$900-$1,000",7,44675-92-08-04460,5134 W CHARLES PAGE,Tulsa,OK,907.78
