custom_id,source_list,original_rank,parcel_id,property_address,city,state,bid_cost,legal_description,property_type,source_page,raw_text,extraction_confidence,previous_ai_score,previous_category,previous_recommendation,previous_reasoning_summary,previous_key_risks,previous_confidence_level,prior_geocode_status,prior_latitude,prior_longitude,prior_neighborhood_or_area,prior_crime_risk_level,prior_crime_score,prior_economic_risk_level,prior_economic_strength_score,prior_median_household_income,prior_poverty_rate,prior_median_home_value,prior_vacancy_rate,enrichment_match_method,enrichment_source_file
C33-01,Manual Review,1,00575-93-06-01170,511 S VICTOR AV E,Tulsa,OK,3910.27,LTS 43 & 44 BLK 8,R IMP,Unknown,Unknown,High,7.0,Strong Manual Review Candidate,Research First,"Parcel 00575-93-06-01170 at 511 S VICTOR AV E shows a low bid cost of 3910.27 and is tagged as R IMP with strong property clarity and complete address, while the development match status is 'No Clear Match' and overall data/extraction confidence is High, making it a solid candidate for deeper manual review but not a confirmed good investment.",ZIP is unknown; no verified development or area-based upside; physical condition and occupancy are unknown; surrounding value and crime risk are unknown despite high data confidence on the core record.,High,Success,36.1536663,-95.9656652,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-02,Manual Review,2,34300-03-32-15230,135 N COLUMBIA AV E,Tulsa,OK,3005.69,LT 24 BLK 4,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 34300-03-32-15230 at 135 N COLUMBIA AV E in Tulsa shows a bid cost of 3005.69 and a rule-based score of 6.9, driven by complete address quality and strong property clarity with high extraction/data confidence. However, the development match status is No Clear Match with low development confidence, so no verified development upside is included in the assessment.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are both unknown; geocode confidence is only Medium, which may affect precise location and comp analysis.",High,Success,36.1638884,-95.95126,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-03,Manual Review,8,44200-02-11-04390,4696 N BOULDER AV W,Tulsa,OK,3075.02,LT 2 BLK 18,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-11-04390 at 4696 N BOULDER AV W in Tulsa has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate classification. The bid cost of 3075.02 is flagged as a strong signal, but the development verification shows No Clear Match with low confidence, so no development premium is applied. Overall, the property merits manual review but not automatic elevation based on development.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are both unknown, increasing uncertainty around neighborhood context.",High,Success,36.2238614,-95.9973014,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-04,Manual Review,9,34750-02-26-08160,2507 N MAIN ST E TULSA,Tulsa,OK,3097.02,PRT LTS 9 & 10 BEG SWC LT 9 TH NLY65 ELY TO SECR,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 34750-02-26-08160 at 2507 N MAIN ST E in Tulsa has a low bid cost of 3097.02 and strong property/address clarity, with overall data and extraction confidence rated High. However, the development match status is No Clear Match with low confidence, so no development upside is verified. Given the rule-based score of 6.9 and Medium geocode confidence, this is a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown; development upside is not verified (No Clear Match, low confidence); surrounding value and crime risk are unknown.",High,Success,36.1903393,-95.996621,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-05,Manual Review,11,23175-03-30-13610,2526 N QUAKER AV E,Tulsa,OK,3115.02,LT 6 BLK 4,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 23175-03-30-13610 at 2526 N QUAKER AV E, Tulsa, has a bid cost of 3115.02 and is classified as R IMP with strong property clarity, complete address, and high overall data confidence. Rule-based scoring (6.9) flags it as a Strong Manual Review Candidate. However, development verification shows no clear match and low confidence, so development cannot be treated as an upside factor.",Unknown ZIP; no verified development match; surrounding value signal unknown; crime risk unknown; owner name listed as Unknown.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-06,Manual Review,15,53775-02-02-00220,6105 N MAIN ST E TULSA,Tulsa,OK,3140.32,LT 22 BK 1,R HS IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The parcel at 6105 N MAIN ST E (Parcel ID 53775-02-02-00220) has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and Strong Manual Review Candidate status. The bid cost of 3140.32 is flagged as a strong price signal, suggesting potential value if the asset and area check out. However, the development verification shows No Clear Match with low confidence, so no development-driven upside is confirmed.","ZIP is unknown, limiting precise location and comp analysis; no verified development linkage or nearby project-based upside; surrounding value and crime risk are both unknown.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-07,Manual Review,17,07600-02-24-01200,820 E 36 ST N,Tulsa,OK,3152.35,LTS 1 & 2 BLK 3,C IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The rule-based score of 6.9 and category Strong Manual Review Candidate reflect a relatively attractive bid cost of 3152.35 for parcel 07600-02-24-01200, a complete address and strong property clarity for a commercial improvement (C IMP), and high overall data confidence. However, the development verification shows No Clear Match with low confidence, so there is no confirmed development catalyst, and the unknown ZIP adds location uncertainty. These factors support prioritizing manual review rather than treating it as a confirmed good investment.",ZIP unknown; no verified nearby development or project; development match explicitly No Clear Match; commercial use specifics and condition not detailed; surrounding value and crime risk unknown.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-08,Manual Review,21,44200-02-14-06630,18 E 44 PL N,Tulsa,OK,3183.01,LOT-2-BLK-29,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-14-06630 at 18 E 44 PL N, Tulsa, has high data confidence, complete address, and strong property clarity, with a relatively low bid cost of 3183.01. Rule-based scoring classifies it as a Strong Manual Review Candidate. However, there is no clear matched development area and the verified development signal is low, so any upside from nearby projects cannot be relied upon.","ZIP is unknown, limiting neighborhood and value context; no verified development match or surrounding value signal; crime risk and area value indicators are unknown.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-09,Manual Review,26,07675-02-13-01140,4018 N GARRISON AV E,Tulsa,OK,3245.67,LT 1 BLK 5,R HS IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 07675-02-13-01140 at 4018 N GARRISON AV E, Tulsa, has a bid cost of 3245.67, complete address quality, strong property clarity, and high overall data confidence, which together yield a conservative rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development match is No Clear Match with low confidence, so no verified development upside is included in the investment view.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are unknown; actual property condition and occupancy are not provided.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
C33-10,Manual Review,34,17675-02-24-07570,750 E 32 PL N,Tulsa,OK,3310.33,LT 36 BLK 4,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The parcel at 750 E 32 PL N, Tulsa (ID 17675-02-24-07570) has high data confidence, complete address, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate category. The bid cost of 3310.33 is relatively low for a residential improvement type, which is a positive signal. However, the development verification shows No Clear Match with low confidence, so no external project upside is confirmed, and the ZIP is unknown, adding location uncertainty.","ZIP unknown; no verified nearby development or project tie-in; surrounding value and crime risk are both unknown, limiting context for valuation and risk assessment.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv
