final_rank,custom_id,source_list,original_rank,parcel_id,property_address,city,state,bid_cost,legal_description,property_type,source_page,raw_text,extraction_confidence,previous_ai_score,previous_category,previous_recommendation,previous_reasoning_summary,previous_key_risks,previous_confidence_level,prior_geocode_status,prior_latitude,prior_longitude,prior_neighborhood_or_area,prior_crime_risk_level,prior_crime_score,prior_economic_risk_level,prior_economic_strength_score,prior_median_household_income,prior_poverty_rate,prior_median_home_value,prior_vacancy_rate,enrichment_match_method,enrichment_source_file,latitude,longitude,geocode_status,geocode_confidence,geocode_source,geocode_display_name,confirmed_zip_code,neighborhood_or_area,census_tract,block_group,median_household_income,poverty_rate,unemployment_rate,median_home_value,median_gross_rent,vacancy_rate,owner_occupied_rate,economic_source,economic_confidence,economic_strength_score,economic_risk_level,crime_source,crime_data_date_range,crime_incident_count_0_5mi,violent_crime_count_0_5mi,property_crime_count_0_5mi,crime_risk_score,crime_risk_level,crime_confidence,crime_notes,property_clarity_score,geocoding_score,residential_likelihood_score,crime_score,economic_score,bid_price_score,prior_shortlist_score,data_confidence_score,rule_score,rule_category,rule_reasoning,rule_key_risks,manual_due_diligence_priority,ai_score,ai_tier,recommendation,bid_strategy_note,reasoning_summary,crime_economic_summary,key_risks,missing_information,next_due_diligence_step,confidence_level,final_score,final_tier
1,C33-09,Manual Review,26,07675-02-13-01140,4018 N GARRISON AV E,Tulsa,OK,3245.67,LT 1 BLK 5,R HS IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 07675-02-13-01140 at 4018 N GARRISON AV E, Tulsa, has a bid cost of 3245.67, complete address quality, strong property clarity, and high overall data confidence, which together yield a conservative rule-based score of 6.9 and classification as a Strong Manual Review Candidate. However, the development match is No Clear Match with low confidence, so no verified development upside is included in the investment view.","ZIP is unknown; no verified development linkage (No Clear Match, low development confidence); surrounding value and crime risk are unknown; actual property condition and occupancy are not provided.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2121508,-95.9854779,Geocoded,High,Census Geocoder,"4018 N GARRISON AVE, TULSA, OK, 74106",74106,Tulsa,40143008002,401430080022,38750.0,0.2597,0.0733,76300.0,1129.0,0.167,0.6033,ACS 2024 5-year via Census Reporter API (Tract-level),High,5.5,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.0,5.0,5.5,4.55,7.95,8.0,6.79,Tier 2 Strong Review,"Bid 3245.67 for 07675-02-13-01140 at 4018 N GARRISON AV E screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.0, crime 5.0, and economics 5.5.",No major red flags beyond normal tax-auction uncertainty.,High,6.79,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3245.67 for parcel 07675-02-13-01140 at 4018 N GARRISON AV E falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Medium with High confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,7.04,Tier 2 Strong Review
2,C33-15,Manual Review,43,46465-92-11-31880,2034 S PHOENIX AV W,Tulsa,OK,3329.0,LT 30 BLK 1,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The parcel at 2034 S PHOENIX AV W (Parcel ID 46465-92-11-31880) has high data confidence, complete address quality, and strong property clarity, supporting a solid rule-based score of 6.9. The bid cost of 3329.0 is flagged as a strong price signal, making it a potentially appealing low-entry-cost residential improvement opportunity. However, the development verification shows No Clear Match with low confidence, so no external development upside can be relied upon. Given the combination of strong internal signals and lack of verified development benefits, it fits best as a Strong Manual Review Candidate rather than a confirmed good investment.","ZIP is unknown, limiting precise location and comp analysis; no clear or verified nearby development to support appreciation; crime risk and surrounding value signals are unknown; owner name is unknown, which may complicate title or notification review.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.1341884,-96.0058309,Geocoded,High,Census Geocoder,"2034 S PHOENIX AVE, TULSA, OK, 74107",74107,Tulsa,40143004600,401430046004,41282.0,0.3903,0.1756,251700.0,932.0,0.1171,0.0963,ACS 2024 5-year via Census Reporter API (Tract-level),High,5.0,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.0,5.0,5.0,4.36,7.95,8.0,6.69,Tier 2 Strong Review,"Bid 3329.00 for 46465-92-11-31880 at 2034 S PHOENIX AV W screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.0, crime 5.0, and economics 5.0.",No major red flags beyond normal tax-auction uncertainty.,High,6.69,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3329.00 for parcel 46465-92-11-31880 at 2034 S PHOENIX AV W falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Medium with High confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.94,Tier 2 Strong Review
3,C33-08,Manual Review,21,44200-02-14-06630,18 E 44 PL N,Tulsa,OK,3183.01,LOT-2-BLK-29,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-14-06630 at 18 E 44 PL N, Tulsa, has high data confidence, complete address, and strong property clarity, with a relatively low bid cost of 3183.01. Rule-based scoring classifies it as a Strong Manual Review Candidate. However, there is no clear matched development area and the verified development signal is low, so any upside from nearby projects cannot be relied upon.","ZIP is unknown, limiting neighborhood and value context; no verified development match or surrounding value signal; crime risk and area value indicators are unknown.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2188308,-95.9953816,Geocoded,Medium,Census Geocoder,"18 E 44TH PL N, TULSA, OK, 74106",74106,Tulsa,40143008002,401430080023,38750.0,0.2597,0.0733,76300.0,1129.0,0.167,0.6033,ACS 2024 5-year via Census Reporter API (Tract-level),High,5.5,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,9.0,4.5,5.0,5.5,4.7,7.95,7.5,6.7,Tier 2 Strong Review,"Bid 3183.01 for 44200-02-14-06630 at 18 E 44 PL N screened with property clarity 9.3, geocoding 9.0, residential likelihood 4.5, crime 5.0, and economics 5.5.",No major red flags beyond normal tax-auction uncertainty.,High,6.7,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3183.01 for parcel 44200-02-14-06630 at 18 E 44 PL N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is Medium with High confidence.,No major red flags beyond normal tax-auction uncertainty.,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.7,Tier 2 Strong Review
4,C33-32,"$900-$1,000",1,01875-03-19-00200,2612 N TRENTON AV E,Tulsa,OK,962.57,LT 10 BLK 2,R IMP,Unknown,"21 01875-03-19-00200 2612 N TRENTON AV E 7,000 R IMP 962.57 332.25 | LT 10 BLK 2 CITY OF TULSA | APACHE PLACE ADDN",Medium,6.8,Risky / Needs Verification,Drive By,"The parcel at 2612 N TRENTON AV E in Tulsa (confirmed ZIP 74106) has strong data quality (property clarity 10.0, geocoding 9.0, residential likelihood 8.5) and a low bid cost of $962.57, which is attractive relative to the tract’s median home value of about $121,800. The area’s economic profile is mixed but not severely distressed: median household income ~$44,485, poverty ~19.6%, unemployment ~17.3%, and relatively high owner-occupancy (~73.7%) with a notable vacancy rate (~15.9%). However, the city-level crime proxy for Tulsa indicates high crime risk (Crime Risk Score 1.7, city safer than only ~2% of U.S. cities), and we lack parcel- or neighborhood-specific crime data. Given the combination of decent economic indicators, strong data confidence, and high but low-confidence crime risk, this property remains a Manual Review Candidate rather than a clear Top Candidate.","1) High city-level crime risk with only low-confidence, non-parcel-specific data; local conditions around 2612 N TRENTON AV E could be worse than the tract average. 2) Elevated unemployment (~17.3%) and non-trivial poverty (~19.6%) may limit resale or rental demand and tenant quality. 3) Vacancy rate (~15.9%) indicates some risk of weak demand or neighborhood blight. 4) Owner name is unknown in the dataset, which may signal title or record-keeping complexity that needs verification. 5) Crime data is city-level only; absence of parcel-level or 0.5-mile incident counts increases uncertainty about true safety and desirability.",Medium,Geocoded,Unknown,Unknown,Tulsa Census Tract 200,High,1.7,Medium,6.33,44485.0,0.1962,121800.0,0.1585,parcel_id,iterations/iteration_10_900_to_1000_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.1917798,-95.969964,Geocoded,High,Census Geocoder,"2612 N TRENTON AVE, TULSA, OK, 74106",74106,Tulsa,40143000200,401430002001,44485.0,0.1962,0.1729,121800.0,1054.0,0.1585,0.7373,ACS 2024 5-year via Census Reporter API (Tract-level),High,6.33,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.0,1.7,6.33,9.87,7.4,7.5,7.04,Tier 2 Strong Review,"Bid 962.57 for 01875-03-19-00200 at 2612 N TRENTON AV E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.7, and economics 6.33.",high crime context,High,7.04,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 962.57 for parcel 01875-03-19-00200 at 2612 N TRENTON AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.29,Tier 2 Strong Review
5,C33-24,"$1,000-$1,500",5,24925-02-36-17420,1084 N NORFOLK AV E,Tulsa,OK,1199.79,LT 1 BLK 3,R HS IMP,Unknown,"383 24925-02-36-17420 1084 N NORFOLK AV E 5,000 R HS IMP 1,199.79 395.25 | LT 1 BLK 3 CITY OF TULSA | MANN'S ADDN",High,7.17,Risky / Needs Verification,Drive By,Bid cost 1199.79 for parcel 24925-02-36-17420 at 1084 N NORFOLK AV E stays in Manual Review Candidate because crime risk is High and median household income 60379.0; fallback confidence is High.,Area-level crime proxy is high risk. Crime context is low-confidence and city-level only.,High,Geocoded,Unknown,Unknown,Tulsa Census Tract 1200,High,1.7,Medium,6.5,60379.0,0.176,86400.0,0.2185,parcel_id,iterations/iteration_11_1000_to_1500_top50_crime_economic_ai/cleaned_data/final_top50_crime_economic_ai.csv,36.1701672,-95.977904,Geocoded,High,Census Geocoder,"1084 N NORFOLK AVE, TULSA, OK, 74106",74106,Tulsa,40143001200,401430012001,60379.0,0.176,0.0633,86400.0,964.0,0.2185,0.5092,ACS 2024 5-year via Census Reporter API (Tract-level),High,6.5,Medium,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,1.7,High,Medium,Merged from prior iteration screening data; area-level signal only.,10.0,10.0,4.0,1.7,6.5,9.32,7.58,8.0,7.04,Tier 2 Strong Review,"Bid 1199.79 for 24925-02-36-17420 at 1084 N NORFOLK AV E screened with property clarity 10.0, geocoding 10.0, residential likelihood 4.0, crime 1.7, and economics 6.5.",high crime context,High,7.04,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 1199.79 for parcel 24925-02-36-17420 at 1084 N NORFOLK AV E falls into Tier 2 Strong Review because crime risk is High and economic risk is Medium; confidence level is Medium due to fallback or missing data.,Crime risk is High with Medium confidence. Economic risk is Medium with High confidence.,high crime context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.29,Tier 2 Strong Review
6,C33-14,Manual Review,40,44250-02-12-15190,549 E 54 PL N,Tulsa,OK,3327.0,LT 17 BLK 54,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44250-02-12-15190 at 549 E 54 PL N, Tulsa, has a low bid cost of 3327.00, complete address, strong property clarity, and high overall data confidence. Rule-based scoring classifies it as a Strong Manual Review Candidate with a 6.9 score. However, development verification shows no clear match and low confidence, so no development premium is assumed.",ZIP unknown; no verified development match; surrounding value and crime risk unknown.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2322375,-95.9875652,Geocoded,High,Census Geocoder,"549 E 54TH PL N, TULSA, OK, 74126",74126,Tulsa,40143007900,401430079005,40233.0,0.3225,0.0824,70700.0,1139.0,0.2813,0.5383,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.92,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.5,5.0,4.92,4.36,7.95,8.0,6.76,Tier 2 Strong Review,"Bid 3327.00 for 44250-02-12-15190 at 549 E 54 PL N screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.5, crime 5.0, and economics 4.92.",weak economic context,High,6.76,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3327.00 for parcel 44250-02-12-15190 at 549 E 54 PL N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.26,Tier 2 Strong Review
7,C33-07,Manual Review,17,07600-02-24-01200,820 E 36 ST N,Tulsa,OK,3152.35,LTS 1 & 2 BLK 3,C IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The rule-based score of 6.9 and category Strong Manual Review Candidate reflect a relatively attractive bid cost of 3152.35 for parcel 07600-02-24-01200, a complete address and strong property clarity for a commercial improvement (C IMP), and high overall data confidence. However, the development verification shows No Clear Match with low confidence, so there is no confirmed development catalyst, and the unknown ZIP adds location uncertainty. These factors support prioritizing manual review rather than treating it as a confirmed good investment.",ZIP unknown; no verified nearby development or project; development match explicitly No Clear Match; commercial use specifics and condition not detailed; surrounding value and crime risk unknown.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2059193,-95.9820493,Geocoded,High,Census Geocoder,"820 E 36TH ST N, TULSA, OK, 74106",74106,Tulsa,40143006200,401430062002,30000.0,0.3285,0.0988,73100.0,930.0,0.1858,0.3756,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.33,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.5,5.0,4.33,4.77,7.95,8.0,6.71,Tier 2 Strong Review,"Bid 3152.35 for 07600-02-24-01200 at 820 E 36 ST N screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.5, crime 5.0, and economics 4.33.",weak economic context,High,6.71,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3152.35 for parcel 07600-02-24-01200 at 820 E 36 ST N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.21,Tier 2 Strong Review
8,C33-12,Manual Review,36,44200-02-11-03380,4627 N BOSTON AV E,Tulsa,OK,3311.0,LT 27 BLK 15,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"Parcel 44200-02-11-03380 at 4627 N BOSTON AV E, Tulsa, shows a low bid cost of 3311.00 and strong property clarity with complete address data, but the development match status is No Clear Match and the development confidence is low. Overall data and extraction confidence are high, supporting a conservative but favorable rule-based score of 6.9 that warrants manual review rather than an automatic investment decision.",ZIP is unknown; no verified development or area-upside signal; surrounding value and crime risk are unknown; reliance on rule-based scoring without external market validation.,High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2209871,-95.9950217,Geocoded,High,Census Geocoder,"4627 N BOSTON AVE, TULSA, OK, 74126",74126,Tulsa,40143007900,401430079003,40233.0,0.3225,0.0824,70700.0,1139.0,0.2813,0.5383,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.92,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.0,5.0,4.92,4.4,7.95,8.0,6.69,Tier 2 Strong Review,"Bid 3311.00 for 44200-02-11-03380 at 4627 N BOSTON AV E screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.0, crime 5.0, and economics 4.92.",weak economic context,High,6.69,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3311.00 for parcel 44200-02-11-03380 at 4627 N BOSTON AV E falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.19,Tier 2 Strong Review
9,C33-06,Manual Review,15,53775-02-02-00220,6105 N MAIN ST E TULSA,Tulsa,OK,3140.32,LT 22 BK 1,R HS IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The parcel at 6105 N MAIN ST E (Parcel ID 53775-02-02-00220) has high data confidence, complete address quality, and strong property clarity, supporting the rule-based score of 6.9 and Strong Manual Review Candidate status. The bid cost of 3140.32 is flagged as a strong price signal, suggesting potential value if the asset and area check out. However, the development verification shows No Clear Match with low confidence, so no development-driven upside is confirmed.","ZIP is unknown, limiting precise location and comp analysis; no verified development linkage or nearby project-based upside; surrounding value and crime risk are both unknown.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2426042,-95.9957828,Geocoded,High,Census Geocoder,"6105 N MAIN ST, TULSA, OK, 74126",74126,Tulsa,40143009101,401430091011,41493.0,0.3846,0.1333,54200.0,1091.0,0.1913,0.6125,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.58,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.0,5.0,4.58,4.8,7.95,8.0,6.67,Tier 2 Strong Review,"Bid 3140.32 for 53775-02-02-00220 at 6105 N MAIN ST E TULSA screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.0, crime 5.0, and economics 4.58.",weak economic context,High,6.67,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3140.32 for parcel 53775-02-02-00220 at 6105 N MAIN ST E TULSA falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.17,Tier 2 Strong Review
10,C33-10,Manual Review,34,17675-02-24-07570,750 E 32 PL N,Tulsa,OK,3310.33,LT 36 BLK 4,R IMP,Unknown,Unknown,High,6.9,Strong Manual Review Candidate,Research First,"The parcel at 750 E 32 PL N, Tulsa (ID 17675-02-24-07570) has high data confidence, complete address, and strong property clarity, supporting the rule-based score of 6.9 and a Strong Manual Review Candidate category. The bid cost of 3310.33 is relatively low for a residential improvement type, which is a positive signal. However, the development verification shows No Clear Match with low confidence, so no external project upside is confirmed, and the ZIP is unknown, adding location uncertainty.","ZIP unknown; no verified nearby development or project tie-in; surrounding value and crime risk are both unknown, limiting context for valuation and risk assessment.",High,Failed,Unknown,Unknown,"Tulsa, OK",Unknown,5.0,Unknown,Unknown,Unknown,Unknown,Unavailable,Unknown,parcel_id,iterations/iteration_07_deep_research_existing_manual_list/cleaned_data/final_combined_research.csv,36.2018549,-95.9827807,Geocoded,High,Census Geocoder,"750 E 32ND PL N, TULSA, OK, 74106",74106,Tulsa,40143006200,401430062002,30000.0,0.3285,0.0988,73100.0,930.0,0.1858,0.3756,ACS 2024 5-year via Census Reporter API (Tract-level),High,4.33,High,Prior iteration area context,Prior iteration dataset,Unknown,Unknown,Unknown,5.0,Unknown,Medium,Merged from prior iteration screening data; area-level signal only.,9.3,10.0,4.5,5.0,4.33,4.4,7.95,8.0,6.67,Tier 2 Strong Review,"Bid 3310.33 for 17675-02-24-07570 at 750 E 32 PL N screened with property clarity 9.3, geocoding 10.0, residential likelihood 4.5, crime 5.0, and economics 4.33.",weak economic context,High,6.67,Tier 2 Strong Review,Research First,Use rule-based fallback and require extra manual verification before any bid.,Bid cost 3310.33 for parcel 17675-02-24-07570 at 750 E 32 PL N falls into Tier 2 Strong Review because crime risk is Unknown and economic risk is High; confidence level is Medium due to fallback or missing data.,Crime risk is Unknown with Medium confidence. Economic risk is High with High confidence.,weak economic context,Fallback used: Fallback forced because OpenAI configuration was unavailable.,"High priority: verify title/liens, assessor details, parcel usability, and street-level condition.",Medium,6.17,Tier 2 Strong Review
