input row count: 33
crime data coverage count: 33
economic data coverage count: 29
00575-93-06-01170 | geocode=Success | crime=Unknown (Medium) | economic=Unknown (Low)
34300-03-32-15230 | geocode=Success | crime=Unknown (Medium) | economic=Unknown (Low)
44200-02-11-04390 | geocode=Success | crime=Unknown (Medium) | economic=Unknown (Low)
34750-02-26-08160 | geocode=Success | crime=Unknown (Medium) | economic=Unknown (Low)
23175-03-30-13610 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
53775-02-02-00220 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
07600-02-24-01200 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
44200-02-14-06630 | geocode=Geocoded | crime=Unknown (Medium) | economic=Medium (High)
07675-02-13-01140 | geocode=Geocoded | crime=Unknown (Medium) | economic=Medium (High)
17675-02-24-07570 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
25500-03-29-06060 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
44200-02-11-03380 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
25375-03-29-05240 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
44250-02-12-15190 | geocode=Geocoded | crime=Unknown (Medium) | economic=High (High)
46465-92-11-31880 | geocode=Geocoded | crime=Unknown (Medium) | economic=Medium (High)
47175-03-29-18430 | geocode=Geocoded | crime=High (Low) | economic=High (High)
38675-93-10-06110 | geocode=Geocoded | crime=High (Low) | economic=Low (High)
40250-03-31-14910 | geocode=Geocoded | crime=High (Low) | economic=High (High)
40825-02-13-08310 | geocode=Geocoded | crime=High (Low) | economic=Medium (High)
24675-03-31-13270 | geocode=Geocoded | crime=High (Low) | economic=Medium (High)
40850-02-12-07900 | geocode=Geocoded | crime=High (Low) | economic=High (High)
40250-03-31-15190 | geocode=Geocoded | crime=High (Low) | economic=High (High)
44675-92-08-04450 | geocode=Geocoded | crime=High (Low) | economic=High (High)
24925-02-36-17420 | geocode=Geocoded | crime=High (Medium) | economic=Medium (High)
40875-02-13-11530 | geocode=Geocoded | crime=High (Medium) | economic=Medium (High)
26725-02-25-16640 | geocode=Geocoded | crime=High (Medium) | economic=Medium (High)
05400-02-25-04330 | geocode=Geocoded | crime=High (Medium) | economic=Medium (High)
41025-02-01-04710 | geocode=Geocoded | crime=High (Medium) | economic=High (High)
41025-02-01-05430 | geocode=Geocoded | crime=High (Medium) | economic=High (High)
43300-03-29-09940 | geocode=Geocoded | crime=High (Medium) | economic=High (High)
05850-03-30-04070 | geocode=Geocoded | crime=High (Medium) | economic=High (High)
01875-03-19-00200 | geocode=Geocoded | crime=High (Medium) | economic=Medium (High)
44675-92-08-04460 | geocode=Geocoded | crime=High (Medium) | economic=High (High)
